#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Oakland,L23-8,Thigpen  151,Johnson  22,Bowe  90
4,Sun, Sep 28,Denver,W33-19,Huard  160,Johnson  198,Bowe  85
#6,BYE WEEK
7,Sun, Oct 19,Tennessee,L34-10,Huard  96,Thigpen  21,Gonzalez  97
9,Sun, Nov 2,Tampa Bay,L30-27 OT,Thigpen  164,Charles  106,Bradley  65
11,Sun, Nov 16,New Orleans,L30-20,Thigpen  235,Johnson  67,Bradley  54
12,Sun, Nov 23,Buffalo,L54-31,Thigpen  240,Johnson  81,Gonzalez  113
15,Sun, Dec 14,San Diego,L22-21,Thigpen  171,Johnson  55,Gonzalez  62
16,Sun, Dec 21,Miami,L38-31,Thigpen  320,Johnson  108,Charles  102
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 16,Arizona,L27-17,Box Score
4,Thu, Aug 28,St. Louis,W21-17,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 20,Oakland,L13-10,Cassel  241,Johnson  78,Wade  72
4,Sun, Oct 4,New York,L27-16,Cassel  127,Johnson  53,Ryan  58
5,Sun, Oct 11,Dallas,L26-20 OT,Cassel  253,Johnson  37,Bowe  74
7,Sun, Oct 25,San Diego,L37-7,Cassel  97,Johnson  49,Wade  66
#8,BYE WEEK
11,Sun, Nov 22,Pittsburgh,W27-24 OT,Cassel  248,Charles  58,Chambers  119
13,Sun, Dec 6,Denver,L44-13,Cassel  84,Charles  56,Wade  36
14,Sun, Dec 13,Buffalo,L16-10,Cassel  224,Charles  143,Chambers  50
15,Sun, Dec 20,Cleveland,L41-34,Cassel  331,Charles  154,Chambers  114
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 15,Houston,L16-10,Box Score
3,Sat, Aug 29,Seattle,L14-10,Box Score
#2010 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 9,Baltimore,L30-7,Cassel  70,Charles  82,Moeaki  22
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 13,San Diego,W21-14,Cassel  68,Charles  92,Moeaki  21
3,Sun, Sep 26,San Francisco,W31-10,Cassel  250,Charles  97,McCluster  69
#4,BYE WEEK
7,Sun, Oct 24,Jacksonville,W42-20,Cassel  193,Jones  125,Bowe  81
8,Sun, Oct 31,Buffalo,W13-10 OT,Cassel  152,Charles  177,Charles  61
11,Sun, Nov 21,Arizona,W31-13,Cassel  193,Charles  88,Bowe  109
13,Sun, Dec 5,Denver,W10-6,Cassel  196,Charles  116,Jones Moeaki  54
16,Sun, Dec 26,Tennessee,W34-14,Cassel  314,Charles  77,Bowe  153
17,Sun, Jan 2,Oakland,L31-10,Cassel  115,Charles  87,Bowe  68
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Fri, Aug 27,Philadelphia,L20-17,Box Score
