#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sat, Aug 18,New Orleans,L27-19,Box Score
3,Fri, Aug 31,Indianapolis,W14-6,Box Score
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Tennessee,L24-7,Palmer  134,Perry  64,Dorsey  49
4,Sun, Sep 28,Cleveland,L20-12,Fitzpatrick  156,Fitzpatrick  41,Houshmandzadeh  50
7,Sun, Oct 19,Pittsburgh,L38-10,Fitzpatrick  164,Benson  52,Houshmandzadeh  58
9,Sun, Nov 2,Jacksonville,W21-19,Fitzpatrick  162,Benson  104,Houshmandzadeh  65
#10,BYE WEEK
11,Sun, Nov 16,Philadelphia,T13-13 OT,Fitzpatrick  261,Benson  42,Houshmandzadeh  149
13,Sun, Nov 30,Baltimore,L34-3,Fitzpatrick  124,Fitzpatrick  29,Houshmandzadeh  64
15,Sun, Dec 14,Washington,W20-13,Fitzpatrick  209,Benson  73,Benson  88
17,Sun, Dec 28,Kansas City,W16-6,Fitzpatrick  129,Benson  111,Caldwell  34
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sun, Aug 17,Detroit,L27-10,Box Score
3,Sat, Aug 23,New Orleans,L13-0,Box Score
#2009 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 9,New York,L24-14,Palmer  146,Benson  169,Coles  48
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 13,Denver,L12-7,Palmer  247,Benson  76,Johnson  89
3,Sun, Sep 27,Pittsburgh,W23-20,Palmer  183,Benson  76,Johnson  54
6,Sun, Oct 18,Houston,L28-17,Palmer  259,Benson  44,Johnson  103
7,Sun, Oct 25,Chicago,W45-10,Palmer  233,Benson  189,Johnson  118
#8,BYE WEEK
9,Sun, Nov 8,Baltimore,W17-7,Palmer  224,Benson  117,Coles  72
12,Sun, Nov 29,Cleveland,W16-7,Palmer  110,Johnson  107,Johnson  38
13,Sun, Dec 6,Detroit,W23-13,Palmer  220,Benson  110,Johnson  137
16,Sun, Dec 27,Kansas City,W17-10,Palmer  139,Benson  133,Coles  43
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Thu, Aug 27,St. Louis,L24-21,Box Score
4,Thu, Sep 3,Indianapolis,W38-7,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Baltimore,W15-10,Palmer  167,Benson  78,Owens  57
5,Sun, Oct 10,Tampa Bay,L24-21,Palmer  209,Benson  144,Owens  102
#6,BYE WEEK
8,Sun, Oct 31,Miami,L22-14,Palmer  156,Benson  69,Owens  65
9,Mon, Nov 8,Pittsburgh,L27-21,Palmer  248,Benson  54,Owens  141
11,Sun, Nov 21,Buffalo,L49-31,Palmer  230,Benson  124,Shipley  71
13,Sun, Dec 5,New Orleans,L34-30,Palmer  249,Benson  49,Johnson  96
15,Sun, Dec 19,Cleveland,W19-17,Palmer  209,Benson  150,Caldwell  89
16,Sun, Dec 26,San Diego,W34-20,Palmer  269,Benson  52,Simpson  124
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sun, Aug 8,Dallas,L16-7,Box Score
1,Sun, Aug 15,Denver,W33-24,Box Score
2,Fri, Aug 20,Philadelphia,W22-9,Box Score
#2011 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 25,San Francisco,L13-8,Dalton  157,Benson  64,Caldwell  53
4,Sun, Oct 2,Buffalo,W23-20,Dalton  298,Benson  104,Green  118
6,Sun, Oct 16,Indianapolis,W27-17,Dalton  264,Benson  57,Simpson  101
#7,BYE WEEK
10,Sun, Nov 13,Pittsburgh,L24-17,Dalton  170,Benson  57,Hawkins  56
12,Sun, Nov 27,Cleveland,W23-20,Dalton  270,Benson  106,Green  110
14,Sun, Dec 11,Houston,L20-19,Dalton  189,Benson  91,Green  59
16,Sat, Dec 24,Arizona,W23-16,Dalton  154,Benson  57,Gresham  56
17,Sun, Jan 1,Baltimore,L24-16,Dalton  232,Benson  51,Gresham  72
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Thu, Aug 25,Carolina,W24-13,Box Score
4,Thu, Sep 1,Indianapolis,L17-13,Box Score
#2012 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,Cleveland,W34-27,Dalton  318,Green-Ellis  75,Tate  71
5,Sun, Oct 7,Miami,L17-13,Dalton  234,Scott  40,Green  65
7,Sun, Oct 21,Pittsburgh,L24-17,Dalton  105,Green-Ellis  69,Whalen  31
#8,BYE WEEK
