#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 25,San Francisco,W31-28,Box Score
3,Thu, Aug 30,Cleveland,L19-9,Box Score
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 21,Tampa Bay,L27-24 OT,Orton  268,Forte  89,Lloyd  124
4,Sun, Sep 28,Philadelphia,W24-20,Orton  199,Forte  43,Forte  42
7,Sun, Oct 19,Minnesota,W48-41,Orton  283,Forte  56,Booker  79
#8,BYE WEEK
9,Sun, Nov 2,Detroit,W27-23,Orton  108,Forte  126,Davis  64
10,Sun, Nov 9,Tennessee,L21-14,Grossman  173,Forte  72,Hester Forte  54
14,Sun, Dec 7,Jacksonville,W23-10,Orton  219,Forte  69,Hester  80
15,Thu, Dec 11,New Orleans,W27-24 OT,Orton  172,Forte  34,Hester  46
16,Mon, Dec 22,Green Bay,W20-17 OT,Orton  142,Forte  73,Olsen  49
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 7,Kansas City,L24-20,Box Score
3,Thu, Aug 21,San Francisco,L37-30,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 20,Pittsburgh,W17-14,Cutler  236,Forte  29,Knox  70
4,Sun, Oct 4,Detroit,W48-24,Cutler  141,Forte  121,Bennett  32
#5,BYE WEEK
8,Sun, Nov 1,Cleveland,W30-6,Cutler  225,Forte  90,Hester  81
9,Sun, Nov 8,Arizona,L41-21,Cutler  369,Forte  33,Hester  94
11,Sun, Nov 22,Philadelphia,L24-20,Cutler  171,Bell  81,Bennett  57
13,Sun, Dec 6,St. Louis,W17-9,Cutler  143,Forte  91,Bennett  74
14,Sun, Dec 13,Green Bay,L21-14,Cutler  209,Forte  51,Knox  83
16,Mon, Dec 28,Minnesota,W36-30 OT,Cutler  273,Forte  74,Aromashodu  150
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 22,New York,W17-3,Box Score
4,Thu, Sep 3,Cleveland,W26-23,Box Score
#2010 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 16,Seattle,W35-24,Cutler  274,Forte  80,Olsen  113
CONF,Sun, Jan 23,Green Bay,L21-14,Hanie  153,Forte  70,Forte  90
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Detroit,W19-14,Cutler  372,Forte  50,Forte  151
3,Mon, Sep 27,Green Bay,W20-17,Cutler  221,Cutler  37,Knox  94
6,Sun, Oct 17,Seattle,L23-20,Cutler  290,Taylor  31,Knox  120
7,Sun, Oct 24,Washington,L17-14,Cutler  281,Forte  41,Knox  86
#8,BYE WEEK
10,Sun, Nov 14,Minnesota,W27-13,Cutler  237,Forte  69,Knox  90
12,Sun, Nov 28,Philadelphia,W31-26,Cutler  247,Forte  117,Hester  86
14,Sun, Dec 12,New England,L36-7,Cutler  152,Forte  25,Bennett  53
16,Sun, Dec 26,New York,W38-34,Cutler  215,Forte  113,Knox  92
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 21,Oakland,L32-17,Box Score
3,Sat, Aug 28,Arizona,L14-9,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Atlanta,W30-12,Cutler  312,Forte  68,Forte  90
3,Sun, Sep 25,Green Bay,L27-17,Cutler  302,Cutler  11,Knox  84
4,Sun, Oct 2,Carolina,W34-29,Cutler  102,Forte  205,Knox  48
6,Sun, Oct 16,Minnesota,W39-10,Cutler  267,Forte  87,Hester  91
#8,BYE WEEK
10,Sun, Nov 13,Detroit,W37-13,Cutler  123,Forte  64,Bennett  81
11,Sun, Nov 20,San Diego,W31-20,Cutler  286,Forte  57,Knox  97
