#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
17,Sun, Dec 30,Detroit,W34-13,Favre  99,Jackson  113,Robinson  47
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 18,Seattle,W48-13,Box Score
2,Thu, Aug 23,Jacksonville,L21-13,Box Score
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 8,Minnesota,W24-19,Rodgers  178,Grant  92,Jennings  91
3,Sun, Sep 21,Dallas,L27-16,Rodgers  290,Grant  54,Jennings  115
5,Sun, Oct 5,Atlanta,L27-24,Rodgers  313,Grant  83,Jennings  87
7,Sun, Oct 19,Indianapolis,W34-14,Rodgers  186,Grant  105,Jackson  37
#8,BYE WEEK
11,Sun, Nov 16,Chicago,W37-3,Rodgers  227,Grant  145,Jennings  64
13,Sun, Nov 30,Carolina,L35-31,Rodgers  298,Jackson  80,Jennings  91
14,Sun, Dec 7,Houston,L24-21,Rodgers  295,Grant  104,Driver  75
17,Sun, Dec 28,Detroit,W31-21,Rodgers  308,Grant Wynn  106,Driver  111
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Mon, Aug 11,Cincinnati,L20-17,Box Score
4,Thu, Aug 28,Tennessee,L23-21,Box Score
#2009 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 13,Chicago,W21-15,Rodgers  184,Grant  61,Jennings  106
2,Sun, Sep 20,Cincinnati,L31-24,Rodgers  261,Grant  46,Driver  99
#5,BYE WEEK
6,Sun, Oct 18,Detroit,W26-0,Rodgers  358,Grant  90,Driver  107
8,Sun, Nov 1,Minnesota,L38-26,Rodgers  287,Rodgers  52,Jennings  81
10,Sun, Nov 15,Dallas,W17-7,Rodgers  189,Grant  79,Driver  50
