#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
9,Sun, Nov 4,New England,L24-20,Manning  225,Addai  112,Addai  114
11,Sun, Nov 18,Kansas City,W13-10,Manning  163,Addai  72,Wayne  75
13,Sun, Dec 2,Jacksonville,W28-25,Manning  288,Addai  67,Wayne  158
16,Sun, Dec 23,Houston,W38-15,Manning  311,Keith  60,Wayne  143
17,Sun, Dec 30,Tennessee,L16-10,Manning  95,Addai  27,Wayne  87
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Mon, Aug 20,Chicago,L27-24,Box Score
2,Sat, Aug 25,Detroit,W37-10,Box Score
#2008 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Chicago,L29-13,Manning  257,Addai  44,Wayne  86
3,Sun, Sep 21,Jacksonville,L23-21,Manning  216,Addai  78,Wayne  74
#4,BYE WEEK
6,Sun, Oct 12,Baltimore,W31-3,Manning  271,Rhodes  73,Wayne  118
9,Sun, Nov 2,New England,W18-15,Manning  254,Addai  32,Wayne  65
11,Sun, Nov 16,Houston,W33-27,Manning  320,Addai  105,Wayne  90
14,Sun, Dec 7,Cincinnati,W35-3,Manning  277,Rhodes  31,Harrison  78
15,Sun, Dec 14,Detroit,W31-21,Manning  318,Rhodes  86,Clark  142
17,Sun, Dec 28,Tennessee,W23-0,Sorgi  178,Ball  83,Clark  59
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sun, Aug 24,Buffalo,L20-7,Box Score
4,Thu, Aug 28,Cincinnati,L27-7,Box Score
#2009 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 16,Baltimore,W20-3,Manning  246,Addai  23,Wayne  63
CONF,Sun, Jan 24,New York,W30-17,Manning  377,Addai  80,Garcon  151
SB,Sun, Feb 7,New Orleans,L31-17,Manning  333,Addai  77,Clark  86
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 13,Jacksonville,W14-12,Manning  301,Addai  42,Wayne  162
4,Sun, Oct 4,Seattle,W34-17,Manning  353,Addai  46,Clark  80
#6,BYE WEEK
8,Sun, Nov 1,San Francisco,W18-14,Manning  347,Addai  62,Wayne  147
