#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 4,Philadelphia,L26-14,Jackson  164,Peterson  83,Taylor Berrian  36
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Indianapolis,L18-15,Jackson  130,Peterson  160,Wade  42
3,Sun, Sep 21,Carolina,W20-10,Frerotte  204,Peterson  77,Berrian  79
6,Sun, Oct 12,Detroit,W12-10,Frerotte  296,Peterson  111,Berrian  131
#8,BYE WEEK
9,Sun, Nov 2,Houston,W28-21,Frerotte  182,Peterson  139,Berrian  104
10,Sun, Nov 9,Green Bay,W28-27,Frerotte  151,Peterson  192,Taylor  84
13,Sun, Nov 30,Chicago,W34-14,Frerotte  210,Peterson  131,Berrian  122
16,Sun, Dec 21,Atlanta,L24-17,Jackson  233,Jackson  82,Shiancoe  136
17,Sun, Dec 28,New York,W20-19,Jackson  239,Peterson  103,Wade  98
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 8,Seattle,L34-17,Box Score
3,Sat, Aug 23,Pittsburgh,L12-10,Box Score
#2009 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 17,Dallas,W34-3,Favre  234,Peterson  63,Rice  141
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 27,San Francisco,W27-24,Favre  301,Peterson  85,Taylor  70
4,Mon, Oct 5,Green Bay,W30-23,Favre  271,Peterson  55,Berrian  75
6,Sun, Oct 18,Baltimore,W33-31,Favre  278,Peterson  143,Rice  176
#9,BYE WEEK
10,Sun, Nov 15,Detroit,W27-10,Favre  344,Peterson  133,Rice  201
11,Sun, Nov 22,Seattle,W35-9,Favre  213,Peterson  82,Rice  89
12,Sun, Nov 29,Chicago,W36-10,Favre  392,Peterson  85,Harvin  101
14,Sun, Dec 13,Cincinnati,W30-10,Favre  192,Peterson  97,Berrian  43
17,Sun, Jan 3,New York,W44-7,Favre  316,Peterson  54,Rice  112
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 21,Kansas City,W17-13,Box Score
4,Fri, Sep 4,Dallas,L35-31,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Miami,L14-10,Favre  225,Peterson  145,Shiancoe  86
3,Sun, Sep 26,Detroit,W24-10,Favre  201,Peterson  160,Harvin  62
#4,BYE WEEK
