#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Miami,W31-10,Warner  361,James  55,Fitzgerald  153
5,Sun, Oct 5,Buffalo,W41-17,Warner  250,James  57,Breaston  77
6,Sun, Oct 12,Dallas,W30-24 OT,Warner  236,James  29,Breaston  102
#7,BYE WEEK
10,Mon, Nov 10,San Francisco,W29-24,Warner  328,Hightower  22,Breaston  124
12,Sun, Nov 23,New York,L37-29,Warner  351,Hightower  21,Boldin  87
14,Sun, Dec 7,St. Louis,W34-10,Warner  279,Hightower  32,Breaston  90
15,Sun, Dec 14,Minnesota,L35-14,Warner  270,Arrington  23,Urban  82
17,Sun, Dec 28,Seattle,W34-21,Warner  263,James  100,Fitzgerald  130
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 7,New Orleans,L24-10,Box Score
4,Fri, Aug 29,Denver,L28-14,Box Score
#2009 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 10,Green Bay,W51-45 OT,Warner  379,Wells  91,Breaston  125
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 13,San Francisco,L20-16,Warner  288,Wells  29,Hightower  121
3,Sun, Sep 27,Indianapolis,L31-10,Warner  332,Hightower  22,Breaston  94
#4,BYE WEEK
5,Sun, Oct 11,Houston,W28-21,Warner  302,Wells  24,Boldin  81
8,Sun, Nov 1,Carolina,L34-21,Warner  242,Wells  47,Fitzgerald  66
10,Sun, Nov 15,Seattle,W31-20,Warner  340,Wells  85,Boldin  105
13,Sun, Dec 6,Minnesota,W30-17,Warner  285,Hightower  50,Fitzgerald  143
16,Sun, Dec 27,St. Louis,W31-10,Warner  313,Wells  68,Boldin  116
17,Sun, Jan 3,Green Bay,L33-7,Leinart  96,Hightower  24,Boldin  38
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 22,San Diego,L17-6,Box Score
3,Fri, Aug 28,Green Bay,L44-37,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 26,Oakland,W24-23,Anderson  122,Wells  75,Breaston  41
5,Sun, Oct 10,New Orleans,W30-20,Hall  168,Wells  35,Fitzgerald  93
#6,BYE WEEK
8,Sun, Oct 31,Tampa Bay,L38-35,Anderson  234,Wells  50,Breaston  147
10,Sun, Nov 14,Seattle,L36-18,Anderson  322,Hightower  39,Breaston  98
12,Mon, Nov 29,San Francisco,L27-6,Anderson  196,Wells  13,Doucet  60
13,Sun, Dec 5,St. Louis,L19-6,Anderson  93,Hightower  81,Breaston  62
14,Sun, Dec 12,Denver,W43-13,Skelton  146,Hightower  148,Fitzgerald  72
16,Sat, Dec 25,Dallas,W27-26,Skelton  183,Wells  47,Roberts  110
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 14,Houston,W19-16,Box Score
4,Thu, Sep 2,Washington,W20-10,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Carolina,W28-21,Kolb  309,Wells  90,Doucet  105
4,Sun, Oct 2,New York,L31-27,Kolb  237,Wells  138,Fitzgerald  102
#6,BYE WEEK
7,Sun, Oct 23,Pittsburgh,L32-20,Kolb  272,Wells  42,Fitzgerald  78
9,Sun, Nov 6,St. Louis,W19-13 OT,Skelton  222,Skelton  38,Doucet  78
13,Sun, Dec 4,Dallas,W19-13 OT,Kolb  247,Wells  67,Roberts  111
14,Sun, Dec 11,San Francisco,W21-19,Skelton  282,Wells  27,Fitzgerald  149
15,Sun, Dec 18,Cleveland,W20-17 OT,Skelton  313,Wells  51,Heap  69
17,Sun, Jan 1,Seattle,W23-20 OT,Skelton  271,Stephens-Howling  93,Fitzgerald  149
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sat, Aug 27,San Diego,L34-31,Box Score
4,Thu, Sep 1,Denver,W26-7,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,Seattle,W20-16,Skelton  149,Roberts  15,Fitzgerald  63
3,Sun, Sep 23,Philadelphia,W27-6,Kolb  222,Williams  83,Fitzgerald  114
4,Sun, Sep 30,Miami,W24-21 OT,Kolb  324,Williams  26,Roberts  118
6,Sun, Oct 14,Buffalo,L19-16 OT,Kolb  128,Powell  70,Fitzgerald  93
8,Mon, Oct 29,San Francisco,L24-3,Skelton  290,Stephens-Howling  6,Roberts  65
#10,BYE WEEK
12,Sun, Nov 25,St. Louis,L31-17,Lindley  312,Wells  48,Roberts  92
15,Sun, Dec 16,Detroit,W38-10,Lindley  104,Wells  67,Floyd  37
16,Sun, Dec 23,Chicago,L28-13,Lindley  141,Stephens-Howling  19,Fitzgerald  111
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 17,Oakland,W31-27,Box Score
4,Thu, Aug 30,Denver,L16-13,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Detroit,W25-21,Palmer  248,Mendenhall  66,Ellington  42
5,Sun, Oct 6,Carolina,W22-6,Palmer  175,Ellington  52,Floyd  61
7,Thu, Oct 17,Seattle,L34-22,Palmer  258,Mendenhall  22,Floyd  58
8,Sun, Oct 27,Atlanta,W27-13,Palmer  172,Ellington  154,Williams  51
#9,BYE WEEK
10,Sun, Nov 10,Houston,W27-24,Palmer  241,Ellington  55,Roberts  72
12,Sun, Nov 24,Indianapolis,W40-11,Palmer  314,Mendenhall  54,Floyd  104
14,Sun, Dec 8,St. Louis,W30-10,Palmer  269,Ellington  46,Fitzgerald  96
17,Sun, Dec 29,San Francisco,L23-20,Palmer  407,Mendenhall  47,Fitzgerald  113
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 17,Dallas,W12-7,Box Score
3,Sat, Aug 24,San Diego,L24-7,Box Score
