#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
15,Sun, Dec 16,Detroit,W51-14,Rivers  142,Sproles  122,Chambers  69
16,Mon, Dec 24,Denver,W23-3,Rivers  189,Tomlinson  107,Chambers  71
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sun, Aug 12,Seattle,L24-16,Box Score
3,Thu, Aug 30,San Francisco,W16-13,Box Score
#2008 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 3,Indianapolis,W23-17 OT,Rivers  217,Sproles  105,Gates  87
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Carolina,L26-24,Rivers  217,Tomlinson  97,Gates  61
3,Mon, Sep 22,New York,W48-29,Rivers  250,Tomlinson  67,Jackson  74
6,Sun, Oct 12,New England,W30-10,Rivers  306,Tomlinson  74,Jackson  134
#9,BYE WEEK
10,Sun, Nov 9,Kansas City,W20-19,Rivers  316,Tomlinson  78,Jackson  83
12,Sun, Nov 23,Indianapolis,L23-20,Rivers  288,Tomlinson  84,Chambers  61
13,Sun, Nov 30,Atlanta,L22-16,Rivers  149,Hester  28,Floyd  59
14,Thu, Dec 4,Oakland,W34-7,Rivers  214,Tomlinson  91,Jackson  148
17,Sun, Dec 28,Denver,W52-21,Rivers  207,Sproles  115,Chambers  50
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 9,Dallas,W31-17,Box Score
3,Mon, Aug 25,Seattle,W18-17,Box Score
#2009 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 17,New York,L17-14,Rivers  298,Sproles  33,Jackson  111
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 20,Baltimore,L31-26,Rivers  436,Sproles  26,Jackson  141
3,Sun, Sep 27,Miami,W23-13,Rivers  303,Sproles  41,Jackson  120
#5,BYE WEEK
6,Mon, Oct 19,Denver,L34-23,Rivers  274,Tomlinson  70,Gates  70
8,Sun, Nov 1,Oakland,W24-16,Rivers  249,Tomlinson  56,Jackson  103
10,Sun, Nov 15,Philadelphia,W31-23,Rivers  231,Tomlinson  96,Gates  78
12,Sun, Nov 29,Kansas City,W43-14,Rivers  317,Tomlinson  39,Gates  118
15,Sun, Dec 20,Cincinnati,W27-24,Rivers  308,Tomlinson  59,Jackson  108
17,Sun, Jan 3,Washington,W23-20,Volek  216,Bennett  28,Floyd  140
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 15,Seattle,L20-14,Box Score
4,Fri, Sep 4,San Francisco,W26-7,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Jacksonville,W38-13,Rivers  334,Tolbert  82,Floyd  95
