#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,San Diego,W38-14,Brady  279,Maroney  77,Moss  105
3,Sun, Sep 23,Buffalo,W38-7,Brady  311,Maroney  103,Moss  115
5,Sun, Oct 7,Cleveland,W34-17,Brady  265,Morris  102,Watson  107
8,Sun, Oct 28,Washington,W52-7,Brady  306,Maroney  75,Welker  89
#10,BYE WEEK
12,Sun, Nov 25,Philadelphia,W31-28,Brady  380,Maroney  31,Welker  149
14,Sun, Dec 9,Pittsburgh,W34-13,Brady  399,Maroney  18,Moss  135
15,Sun, Dec 16,New York,W20-10,Brady  140,Maroney  104,Moss  79
16,Sun, Dec 23,Miami,W28-7,Brady  215,Maroney  156,Gaffney  82
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 17,Tennessee,L27-24,Box Score
3,Thu, Aug 30,New York,W27-20,Box Score
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Kansas City,W17-10,Cassel  152,Morris  53,Moss  116
3,Sun, Sep 21,Miami,L38-13,Cassel  131,Morris  27,Welker  55
#4,BYE WEEK
7,Mon, Oct 20,Denver,W41-7,Cassel  185,Morris  138,Moss  69
8,Sun, Oct 26,St. Louis,W23-16,Cassel  267,Faulk  60,Moss  102
10,Sun, Nov 9,Buffalo,W20-10,Cassel  234,Green-Ellis  105,Welker  107
11,Thu, Nov 13,New York,L34-31 OT,Cassel  400,Cassel  62,Welker  108
13,Sun, Nov 30,Pittsburgh,L33-10,Cassel  169,Faulk  73,Faulk  48
16,Sun, Dec 21,Arizona,W47-7,Cassel  345,Morris  88,Gaffney  90
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 7,Baltimore,L16-15,Box Score
3,Fri, Aug 22,Philadelphia,L27-17,Box Score
#2009 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 10,Baltimore,L33-14,Brady  154,Faulk  52,Moss  48
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 14,Buffalo,W25-24,Brady  378,Maroney  32,Moss  141
3,Sun, Sep 27,Atlanta,W26-10,Brady  277,Taylor  105,Moss  116
4,Sun, Oct 4,Baltimore,W27-21,Brady  258,Taylor  25,Watson  51
6,Sun, Oct 18,Tennessee,W59-0,Brady  380,Maroney  123,Welker  150
#8,BYE WEEK
9,Sun, Nov 8,Miami,W27-17,Brady  332,Maroney  82,Moss  147
11,Sun, Nov 22,New York,W31-14,Brady  310,Maroney  77,Welker  192
14,Sun, Dec 13,Carolina,W20-10,Brady  192,Maroney  94,Welker  105
16,Sun, Dec 27,Jacksonville,W35-7,Brady  267,Morris  95,Welker  138
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Thu, Aug 20,Cincinnati,L7-6,Box Score
4,Thu, Sep 3,New York,W38-27,Box Score
#2010 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 16,New York,L28-21,Brady  299,Woodhead  46,Gronkowski  65
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
