#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
7,Sun, Oct 19,San Diego,W23-14,Edwards  261,Lynch  70,Evans  89
9,Sun, Nov 2,New York,L26-17,Edwards  289,Lynch  16,Royal  70
11,Mon, Nov 17,Cleveland,L29-27,Edwards  148,Lynch  119,Lynch  58
13,Sun, Nov 30,San Francisco,L10-3,Edwards  112,Lynch  134,Evans  80
14,Sun, Dec 7,Miami,L16-3,Losman  123,Losman  53,Reed  58
17,Sun, Dec 28,New England,L13-0,Edwards  128,Jackson  136,Evans  63
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Thu, Aug 14,Pittsburgh,W24-21,Box Score
4,Thu, Aug 28,Detroit,L14-6,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 20,Tampa Bay,W33-20,Edwards  230,Jackson  163,Schouman  62
3,Sun, Sep 27,New Orleans,L27-7,Edwards  156,Jackson  71,Reed  60
5,Sun, Oct 11,Cleveland,L6-3,Edwards  152,Lynch  69,Lynch  56
8,Sun, Nov 1,Houston,L31-10,Fitzpatrick  117,Lynch  43,Owens  39
#9,BYE WEEK
12,Sun, Nov 29,Miami,W31-14,Fitzpatrick  246,Jackson  73,Owens  96
13,Thu, Dec 3,New York,L19-13,Fitzpatrick  98,Lynch  60,Evans  38
15,Sun, Dec 20,New England,L17-10,Fitzpatrick  178,Jackson  80,Reed  63
17,Sun, Jan 3,Indianapolis,W30-7,Fitzpatrick  155,Jackson  212,Owens  65
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 15,Chicago,W27-20,Box Score
4,Thu, Sep 3,Detroit,L17-6,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Miami,L15-10,Edwards  139,Jackson  19,Johnson  40
4,Sun, Oct 3,New York,L38-14,Fitzpatrick  128,Fitzpatrick  74,Nelson  75
5,Sun, Oct 10,Jacksonville,L36-26,Fitzpatrick  220,Jackson  73,Evans  87
#6,BYE WEEK
9,Sun, Nov 7,Chicago,L22-19,Fitzpatrick  299,Spiller  20,Johnson  145
10,Sun, Nov 14,Detroit,W14-12,Fitzpatrick  146,Jackson  133,Evans  52
12,Sun, Nov 28,Pittsburgh,L19-16 OT,Fitzpatrick  265,Jackson  59,Jackson  104
14,Sun, Dec 12,Cleveland,W13-6,Fitzpatrick  142,Jackson  112,Stupar  45
16,Sun, Dec 26,New England,L34-3,Fitzpatrick  251,Jackson  81,Roosevelt  74
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Thu, Aug 19,Indianapolis,W34-21,Box Score
3,Sat, Aug 28,Cincinnati,W35-20,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,Oakland,W38-35,Fitzpatrick  264,Jackson  117,Johnson  96
3,Sun, Sep 25,New England,W34-31,Fitzpatrick  369,Jackson  74,Jones  101
5,Sun, Oct 9,Philadelphia,W31-24,Fitzpatrick  193,Jackson  111,Jackson  85
#7,BYE WEEK
8,Sun, Oct 30,Washington,W23-0,Fitzpatrick  262,Jackson  120,Jackson  74
9,Sun, Nov 6,New York,L27-11,Fitzpatrick  191,Jackson  82,Johnson  84
13,Sun, Dec 4,Tennessee,L23-17,Fitzpatrick  288,Spiller  83,Smith  72
15,Sun, Dec 18,Miami,L30-23,Fitzpatrick  316,Spiller  91,Johnson  82
16,Sat, Dec 24,Denver,W40-14,Fitzpatrick  196,Spiller  111,Johnson  92
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sat, Aug 27,Jacksonville,W35-32 OT,Box Score
4,Thu, Sep 1,Detroit,L16-6,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 16,Kansas City,W35-17,Fitzpatrick  178,Spiller  123,Johnson  56
4,Sun, Sep 30,New England,L52-28,Fitzpatrick  350,Spiller  33,Jones  90
7,Sun, Oct 21,Tennessee,L35-34,Fitzpatrick  225,Jackson  71,Johnson  71
#8,BYE WEEK
11,Thu, Nov 15,Miami,W19-14,Fitzpatrick  168,Spiller  91,Johnson  79
13,Sun, Dec 2,Jacksonville,W34-18,Fitzpatrick  112,Jackson  109,Graham  54
14,Sun, Dec 9,St. Louis,L15-12,Fitzpatrick  247,Spiller  37,Chandler Johnson  71
15,Sun, Dec 16,Seattle,L50-17,Fitzpatrick  217,Spiller  103,Johnson  115
17,Sun, Dec 30,New York,W28-9,Fitzpatrick  225,Spiller  59,Johnson  111
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 9,Washington,L7-6,Box Score
3,Sat, Aug 25,Pittsburgh,L38-7,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,New England,L23-21,Manuel  150,Jackson  67,Jackson  41
2,Sun, Sep 15,Carolina,W24-23,Manuel  296,Spiller  103,Johnson  111
4,Sun, Sep 29,Baltimore,W23-20,Manuel  167,Jackson  87,Woods  80
6,Sun, Oct 13,Cincinnati,L27-24 OT,Lewis  216,Spiller  55,Graham  74
9,Sun, Nov 3,Kansas City,L23-13,Tuel  229,Spiller  116,Goodwin  64
11,Sun, Nov 17,New York,W37-14,Manuel  245,Jackson  34,Goodwin  81
#12,BYE WEEK
13,Sun, Dec 1,Atlanta,L34-31 OT,Manuel  210,Spiller  149,Chandler  63
16,Sun, Dec 22,Miami,W19-0,Lewis  193,Jackson  111,Woods  70
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 16,Minnesota,W20-16,Box Score
4,Thu, Aug 29,Detroit,L35-13,Box Score
