#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Mon, Sep 17,Washington,L20-12,McNabb  240,Westbrook  96,Westbrook  66
3,Sun, Sep 23,Detroit,W56-21,McNabb  381,Westbrook  110,Curtis  221
#5,BYE WEEK
7,Sun, Oct 21,Chicago,L19-16,McNabb  226,Westbrook  79,Curtis  62
9,Sun, Nov 4,Dallas,L38-17,McNabb  264,Westbrook  65,Westbrook  90
11,Sun, Nov 18,Miami,W17-7,Feeley  116,Westbrook  148,Curtis  69
13,Sun, Dec 2,Seattle,L28-24,Feeley  220,Westbrook  93,Curtis  111
14,Sun, Dec 9,New York,L16-13,McNabb  179,Westbrook  116,Brown  71
17,Sun, Dec 30,Buffalo,W17-9,McNabb  345,Westbrook  42,Brown  83
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 17,Carolina,W27-10,Box Score
3,Thu, Aug 30,New York,L13-11,Box Score
#2008 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,St. Louis,W38-3,McNabb  361,Westbrook  91,Jackson  106
3,Sun, Sep 21,Pittsburgh,W15-6,McNabb  196,Buckhalter  43,Baskett  85
5,Sun, Oct 5,Washington,L23-17,McNabb  196,Westbrook  33,Brown  84
#7,BYE WEEK
8,Sun, Oct 26,Atlanta,W27-14,McNabb  253,Westbrook  167,Jackson  72
10,Sun, Nov 9,New York,L36-31,McNabb  194,McNabb  35,Jackson  61
13,Thu, Nov 27,Arizona,W48-20,McNabb  260,Westbrook  110,Jackson  76
15,Mon, Dec 15,Cleveland,W30-10,McNabb  290,Buckhalter  55,Avant  101
17,Sun, Dec 28,Dallas,W44-6,McNabb  175,Buckhalter  63,Buckhalter  59
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Thu, Aug 14,Carolina,W24-13,Box Score
4,Thu, Aug 28,New York,L27-20,Box Score
#2009 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 20,New Orleans,L48-22,Kolb  391,Westbrook  52,Celek  104
3,Sun, Sep 27,Kansas City,W34-14,Kolb  327,McCoy  84,Jackson  149
#4,BYE WEEK
5,Sun, Oct 11,Tampa Bay,W33-14,McNabb  264,McNabb  30,Maclin  142
8,Sun, Nov 1,New York,W40-17,McNabb  240,McCoy  82,Jackson  78
9,Sun, Nov 8,Dallas,L20-16,McNabb  227,McCoy  54,McCoy  61
12,Sun, Nov 29,Washington,W27-24,McNabb  260,McCoy  76,Avant  94
15,Sun, Dec 20,San Francisco,W27-13,McNabb  306,Weaver  52,Jackson  140
16,Sun, Dec 27,Denver,W30-27,McNabb  322,Westbrook  32,Celek  121
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 13,New England,L27-25,Box Score
3,Thu, Aug 27,Jacksonville,W33-32,Box Score
#2010 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 9,Green Bay,L21-16,Vick  292,McCoy  46,Avant  93
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Green Bay,L27-20,Vick  175,Vick  103,McCoy  47
4,Sun, Oct 3,Washington,L17-12,Kolb  201,McCoy  64,McCoy  110
6,Sun, Oct 17,Atlanta,W31-17,Kolb  326,McCoy  64,Maclin  159
#8,BYE WEEK
9,Sun, Nov 7,Indianapolis,W26-24,Vick  218,McCoy  95,Jackson  109
11,Sun, Nov 21,New York,W27-17,Vick  258,McCoy  111,Maclin  120
13,Thu, Dec 2,Houston,W34-24,Vick  302,Vick  48,McCoy  86
16,Tue, Dec 28,Minnesota,L24-14,Vick  263,Vick  63,Celek  97
17,Sun, Jan 2,Dallas,L14-13,Kolb  162,Harrison  99,Hall  84
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 13,Jacksonville,W28-27,Box Score
4,Thu, Sep 2,New York,L21-17,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 25,New York,L29-16,Vick  176,McCoy  128,Maclin  69
4,Sun, Oct 2,San Francisco,L24-23,Vick  416,Vick  75,Jackson  171
#7,BYE WEEK
8,Sun, Oct 30,Dallas,W34-7,Vick  279,McCoy  185,Celek  94
9,Mon, Nov 7,Chicago,L30-24,Vick  213,McCoy  71,Maclin  63
10,Sun, Nov 13,Arizona,L21-17,Vick  128,McCoy  81,Celek  53
