#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Jacksonville,W17-10,Young  110,Johnson  93,Scaife  105
3,Sun, Sep 21,Houston,W31-12,Collins  185,Johnson  74,McCareins  86
4,Sun, Sep 28,Minnesota,W30-17,Collins  199,Johnson  61,Gage  92
#6,BYE WEEK
8,Mon, Oct 27,Indianapolis,W31-21,Collins  193,Johnson  77,Scaife  44
9,Sun, Nov 2,Green Bay,W19-16 OT,Collins  180,Johnson  89,Johnson  72
12,Sun, Nov 23,New York,L34-13,Collins  243,Johnson  46,McCareins  43
14,Sun, Dec 7,Cleveland,W28-9,Collins  155,Johnson  136,Johnson  30
16,Sun, Dec 21,Pittsburgh,W31-14,Collins  215,Johnson  69,Gage  104
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 9,St. Louis,W34-13,Box Score
2,Sat, Aug 16,Oakland,W17-16,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 20,Houston,L34-31,Collins  216,Johnson  197,Johnson  87
5,Sun, Oct 11,Indianapolis,L31-9,Collins  164,White  51,Scaife  45
#7,BYE WEEK
8,Sun, Nov 1,Jacksonville,W30-13,Young  125,Johnson  228,Gage  41
10,Sun, Nov 15,Buffalo,W41-17,Young  210,Johnson  132,Johnson  100
12,Sun, Nov 29,Arizona,W20-17,Young  387,Johnson  154,Britt  128
14,Sun, Dec 13,St. Louis,W47-7,Collins  154,Johnson  117,Britt  75
15,Sun, Dec 20,Miami,W27-24 OT,Young  236,Johnson  104,Johnson  55
16,Fri, Dec 25,San Diego,L42-17,Young  89,Johnson  142,Washington  39
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sun, Aug 9,Buffalo,W21-18,Box Score
1,Sat, Aug 15,Tampa Bay,W27-20,Box Score
4,Thu, Sep 3,Green Bay,W27-13,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Oakland,W38-13,Young  154,Johnson  142,Washington  88
2,Sun, Sep 19,Pittsburgh,L19-11,Collins  149,Johnson  34,Gage  74
4,Sun, Oct 3,Denver,L26-20,Young  173,Johnson  53,Washington  42
7,Sun, Oct 24,Philadelphia,W37-19,Collins  276,Johnson  66,Britt  225
#9,BYE WEEK
11,Sun, Nov 21,Washington,L19-16 OT,Young  165,Johnson  130,Washington  117
13,Sun, Dec 5,Jacksonville,L17-6,Collins  169,Johnson  53,Cook  47
14,Thu, Dec 9,Indianapolis,L30-28,Collins  244,Johnson  111,Johnson  68
15,Sun, Dec 19,Houston,W31-17,Collins  237,Johnson  130,Britt  128
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Mon, Aug 23,Arizona,W24-10,Box Score
4,Thu, Sep 2,New Orleans,W27-24,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,Baltimore,W26-13,Hasselbeck  358,Johnson  53,Britt  135
3,Sun, Sep 25,Denver,W17-14,Hasselbeck  311,Johnson Kern  21,Washington  92
#6,BYE WEEK
7,Sun, Oct 23,Houston,L41-7,Hasselbeck  104,Ringer  31,Johnson  27
8,Sun, Oct 30,Indianapolis,W27-10,Hasselbeck  224,Ringer  60,Williams  60
9,Sun, Nov 6,Cincinnati,L24-17,Hasselbeck  272,Johnson  64,Hawkins  63
12,Sun, Nov 27,Tampa Bay,W23-17,Hasselbeck  160,Johnson  190,Hawkins  51
14,Sun, Dec 11,New Orleans,L22-17,Locker  282,Locker  36,Washington  130
16,Sat, Dec 24,Jacksonville,W23-17,Hasselbeck  350,Johnson  56,Cook  169
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 13,Minnesota,W14-3,Box Score
3,Sat, Aug 27,Chicago,W14-13,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,New England,L34-13,Locker  229,Locker  11,Cook  64
3,Sun, Sep 23,Detroit,W44-41 OT,Locker  378,Locker  35,Washington  112
6,Thu, Oct 11,Pittsburgh,W26-23,Hasselbeck  290,Johnson  91,Wright  71
8,Sun, Oct 28,Indianapolis,L19-13 OT,Hasselbeck  236,Johnson  99,Washington  69
9,Sun, Nov 4,Chicago,L51-20,Hasselbeck  200,Johnson  141,Britt  67
