#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,New York,L20-14,Pennington  251,Williams  24,Fasano  84
#4,BYE WEEK
5,Sun, Oct 5,San Diego,W17-10,Pennington  228,Brown  125,Camarillo  68
7,Sun, Oct 19,Baltimore,L27-13,Pennington  295,Brown  27,Camarillo  74
8,Sun, Oct 26,Buffalo,W25-16,Pennington  314,Brown  43,Ginn  175
10,Sun, Nov 9,Seattle,W21-19,Pennington  209,Williams  105,Ginn  67
11,Sun, Nov 16,Oakland,W17-15,Pennington  174,Brown  101,Ginn  51
12,Sun, Nov 23,New England,L48-28,Pennington  341,Brown  37,Ginn  88
15,Sun, Dec 14,San Francisco,W14-9,Pennington  156,Brown  67,Martin  66
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 9,Tampa Bay,L17-6,Box Score
3,Sat, Aug 23,Kansas City,W24-0,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Mon, Sep 21,Indianapolis,L27-23,Pennington  183,Brown  136,Ginn  108
4,Sun, Oct 4,Buffalo,W38-10,Henne  115,Brown  115,Camarillo  42
5,Mon, Oct 12,New York,W31-27,Henne  241,Brown  74,Williams  70
#6,BYE WEEK
7,Sun, Oct 25,New Orleans,L46-34,Henne  211,Williams  80,Hartline  94
10,Sun, Nov 15,Tampa Bay,W25-23,Henne  175,Williams  102,Bess  72
13,Sun, Dec 6,New England,W22-21,Henne  335,Williams  75,Bess  117
16,Sun, Dec 27,Houston,L27-20,Henne  322,Williams  35,Ginn  82
17,Sun, Jan 3,Pittsburgh,L30-24,Henne  140,Williams  31,Bess  85
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Mon, Aug 17,Jacksonville,W12-9,Box Score
2,Sat, Aug 22,Carolina,W27-17,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 26,New York,L31-23,Henne  363,Brown  54,Marshall  166
4,Mon, Oct 4,New England,L41-14,Henne  305,Williams  56,Bess  96
#5,BYE WEEK
7,Sun, Oct 24,Pittsburgh,L23-22,Henne  257,Williams  48,Bess  66
10,Sun, Nov 14,Tennessee,W29-17,Henne  240,Williams  64,Fasano  107
11,Thu, Nov 18,Chicago,L16-0,Thigpen  187,Thigpen  27,Hartline  70
13,Sun, Dec 5,Cleveland,L13-10,Henne  174,Brown  50,Bess  67
15,Sun, Dec 19,Buffalo,L17-14,Henne  276,Brown  39,Marshall  106
