#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sat, Aug 25,Cleveland,L17-16,Box Score
3,Thu, Aug 30,Arizona,W21-3,Box Score
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,San Diego,W39-38,Cutler  350,Young  78,Marshall  166
3,Sun, Sep 21,New Orleans,W34-32,Cutler  264,Young  65,Marshall  155
5,Sun, Oct 5,Tampa Bay,W16-13,Cutler  227,Pittman  39,Scheffler  65
6,Sun, Oct 12,Jacksonville,L24-17,Cutler  192,Pittman  109,Marshall  98
#8,BYE WEEK
9,Sun, Nov 2,Miami,L26-17,Cutler  307,Hall  7,Hillis  116
12,Sun, Nov 23,Oakland,L31-10,Cutler  204,Hillis  74,Marshall  84
14,Sun, Dec 7,Kansas City,W24-17,Cutler  286,Hillis  58,Marshall  91
16,Sun, Dec 21,Buffalo,L30-23,Cutler  359,Royal  71,Marshall  129
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 16,Dallas,W23-13,Box Score
3,Fri, Aug 22,Green Bay,L27-24,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 20,Cleveland,W27-6,Orton  263,Buckhalter  76,Gaffney  82
4,Sun, Oct 4,Dallas,W17-10,Orton  243,Moreno  65,Marshall  91
5,Sun, Oct 11,New England,W20-17 OT,Orton  330,Moreno  88,Royal  90
#7,BYE WEEK
9,Mon, Nov 9,Pittsburgh,L28-10,Orton  221,Buckhalter  24,Marshall  112
11,Sun, Nov 22,San Diego,L32-3,Orton  171,Moreno  80,Gaffney  55
12,Thu, Nov 26,New York,W26-6,Orton  245,Moreno  88,Marshall  86
15,Sun, Dec 20,Oakland,L20-19,Orton  278,Moreno  42,Marshall  73
17,Sun, Jan 3,Kansas City,L44-24,Orton  431,Moreno  50,Gaffney  213
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sun, Aug 30,Chicago,L27-17,Box Score
4,Thu, Sep 3,Arizona,W19-0,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Seattle,W31-14,Orton  307,Moreno  51,Thomas  97
3,Sun, Sep 26,Indianapolis,L27-13,Orton  476,Maroney  24,Lloyd  169
6,Sun, Oct 17,New York,L24-20,Orton  209,Moreno  48,Gaffney  81
7,Sun, Oct 24,Oakland,L59-14,Orton  198,Moreno  53,Gaffney  54
#9,BYE WEEK
10,Sun, Nov 14,Kansas City,W49-29,Orton  296,Moreno  106,Lloyd  90
12,Sun, Nov 28,St. Louis,L36-33,Orton  347,Moreno  56,Lloyd  76
16,Sun, Dec 26,Houston,W24-23,Tebow  308,Buckhalter  42,Lloyd  111
17,Sun, Jan 2,San Diego,L33-28,Tebow  205,Tebow  94,Lloyd  73
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 21,Detroit,L25-20,Box Score
3,Sun, Aug 29,Pittsburgh,W34-17,Box Score
#2011 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 8,Pittsburgh,W29-23 OT,Tebow  316,McGahee  61,Thomas  204
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 12,Oakland,L23-20,Orton  304,Moreno  22,Lloyd  89
2,Sun, Sep 18,Cincinnati,W24-22,Orton  195,McGahee  101,Decker  113
5,Sun, Oct 9,San Diego,L29-24,Tebow  79,McGahee  125,Fells  47
#6,BYE WEEK
8,Sun, Oct 30,Detroit,L45-10,Tebow  172,Moreno  69,Decker  72
11,Thu, Nov 17,New York,W17-13,Tebow  104,Tebow  68,Thomas  37
14,Sun, Dec 11,Chicago,W13-10 OT,Tebow  236,Tebow  49,Thomas  78
15,Sun, Dec 18,New England,L41-23,Tebow  194,Tebow  93,Thomas  116
17,Sun, Jan 1,Kansas City,L7-3,Tebow  60,McGahee  145,Thomas  34
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
