#2002 Postseason Schedule
1,Sun, Sep 7,Arizona,L23-13,O'Sullivan  195,Gore  96,Gore  55
3,Sun, Sep 21,Detroit,W31-13,O'Sullivan  189,Gore  130,Walker  44
5,Sun, Oct 5,New England,L30-21,O'Sullivan  130,Gore  54,Bruce  49
6,Sun, Oct 12,Philadelphia,L40-26,O'Sullivan  199,Gore  101,Davis  75
8,Sun, Oct 26,Seattle,L34-13,Hill  173,Gore  94,Gore  65
#9,BYE WEEK
11,Sun, Nov 16,St. Louis,W35-16,Hill  213,Gore  106,Johnson  56
14,Sun, Dec 7,New York,W24-14,Hill  285,Gore  52,Bruce  70
17,Sun, Dec 28,Washington,W27-24,Hill  245,Gore  58,Morgan  50
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 16,Green Bay,W34-6,Box Score
4,Fri, Aug 29,San Diego,L20-17,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 20,Seattle,W23-10,Hill  144,Gore  207,Gore  39
4,Sun, Oct 4,St. Louis,W35-0,Hill  152,Coffee  74,Davis  43
5,Sun, Oct 11,Atlanta,L45-10,Hill  198,Hill  53,Morgan  78
#6,BYE WEEK
9,Sun, Nov 8,Tennessee,L34-27,Smith  286,Gore  83,Davis  102
10,Thu, Nov 12,Chicago,W10-6,Smith  118,Gore  104,Crabtree  48
12,Sun, Nov 29,Jacksonville,W20-3,Smith  232,Gore  33,Davis  69
14,Mon, Dec 14,Arizona,W24-9,Smith  144,Gore  167,Crabtree  67
16,Sun, Dec 27,Detroit,W20-6,Smith  230,Gore  71,Gore  81
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 14,Denver,W17-16,Box Score
2,Sat, Aug 22,Oakland,W21-20,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Mon, Sep 20,New Orleans,L25-22,Smith  275,Gore  112,Davis  78
5,Sun, Oct 10,Philadelphia,L27-24,Smith  309,Gore  52,Crabtree  105
