#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
8,Sun, Oct 26,Cincinnati,W35-6,Schaub  280,Slaton  53,Johnson  143
10,Sun, Nov 9,Baltimore,L41-13,Rosenfels  294,Moats  34,Walter  85
13,Mon, Dec 1,Jacksonville,W30-17,Rosenfels  200,Slaton  130,Johnson  75
15,Sun, Dec 14,Tennessee,W13-12,Schaub  284,Slaton  100,Johnson  207
17,Sun, Dec 28,Chicago,W31-24,Schaub  328,Slaton  92,Johnson  148
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 9,Denver,W19-16,Box Score
4,Thu, Aug 28,Tampa Bay,L16-6,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 13,New York,L24-7,Schaub  166,Slaton  17,Daniels  44
3,Sun, Sep 27,Jacksonville,L31-24,Schaub  300,Slaton  76,Walter  96
4,Sun, Oct 4,Oakland,W29-6,Schaub  224,Slaton  65,Johnson  66
7,Sun, Oct 25,San Francisco,W24-21,Schaub  264,Slaton  67,Daniels  123
#10,BYE WEEK
11,Mon, Nov 23,Tennessee,L20-17,Schaub  305,Brown  36,Johnson  78
12,Sun, Nov 29,Indianapolis,L35-27,Schaub  284,Slaton  57,Walter  73
14,Sun, Dec 13,Seattle,W34-7,Schaub  365,Moats  43,Johnson  193
17,Sun, Jan 3,New England,W34-27,Schaub  303,Foster  119,Dreessen  81
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 22,New Orleans,L38-14,Box Score
3,Mon, Aug 31,Minnesota,L17-10,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Indianapolis,W34-24,Schaub  107,Foster  231,Johnson  33
3,Sun, Sep 26,Dallas,L27-13,Schaub  241,Foster  106,Johnson  64
5,Sun, Oct 10,New York,L34-10,Schaub  196,Foster  25,Johnson  95
6,Sun, Oct 17,Kansas City,W35-31,Schaub  305,Foster  71,Johnson  138
#7,BYE WEEK
9,Sun, Nov 7,San Diego,L29-23,Schaub  267,Foster  127,Foster  70
12,Sun, Nov 28,Tennessee,W20-0,Schaub  178,Foster  143,Foster  75
14,Mon, Dec 13,Baltimore,L34-28 OT,Schaub  393,Foster  100,Johnson  140
