#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Tampa Bay,W24-20,Brees  343,Thomas  52,Bush  112
4,Sun, Sep 28,San Francisco,W31-17,Brees  363,McAllister  73,Moore  101
5,Mon, Oct 6,Minnesota,L30-27,Brees  330,Bush  29,Henderson  104
6,Sun, Oct 12,Oakland,W34-3,Brees  320,McAllister  65,Moore  97
8,Sun, Oct 26,San Diego,W37-32,Brees  339,McAllister  55,Moore  90
#9,BYE WEEK
12,Mon, Nov 24,Green Bay,W51-29,Brees  323,Thomas  87,Moore  115
14,Sun, Dec 7,Atlanta,W29-25,Brees  230,Thomas  102,Henderson  72
17,Sun, Dec 28,Carolina,L33-31,Brees  386,McAllister  40,Colston  123
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 16,Houston,L31-27,Box Score
4,Thu, Aug 28,Miami,L14-10,Box Score
#2009 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sat, Jan 16,Arizona,W45-14,Brees  247,Bush  84,Colston  83
CONF,Sun, Jan 24,Minnesota,W31-28 OT,Brees  197,Thomas  61,Henderson  39
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 13,Detroit,W45-27,Brees  358,Bell  143,Henderson  103
4,Sun, Oct 4,New York,W24-10,Brees  190,Thomas  86,Thomas  46
#5,BYE WEEK
6,Sun, Oct 18,New York,W48-27,Brees  369,Thomas  72,Colston  166
8,Mon, Nov 2,Atlanta,W35-27,Brees  308,Thomas  91,Colston  85
9,Sun, Nov 8,Carolina,W30-20,Brees  330,Thomas  50,Meachem  98
12,Mon, Nov 30,New England,W38-17,Brees  371,Thomas  64,Colston  121
15,Sat, Dec 19,Dallas,L24-17,Brees  298,Bush  29,Colston  86
16,Sun, Dec 27,Tampa Bay,L20-17 OT,Brees  258,Thomas  60,Colston  77
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 14,Cincinnati,W17-7,Box Score
4,Thu, Sep 3,Miami,L10-7,Box Score
#2010 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Thu, Sep 9,Minnesota,W14-9,Brees  237,Thomas  71,Colston  62
3,Sun, Sep 26,Atlanta,L27-24 OT,Brees  365,Thomas  30,Moore  149
4,Sun, Oct 3,Carolina,W16-14,Brees  275,Ivory  67,Henderson  59
7,Sun, Oct 24,Cleveland,L30-17,Brees  356,Ivory  48,Colston  112
8,Sun, Oct 31,Pittsburgh,W20-10,Brees  305,Jones  16,Meachem  76
#10,BYE WEEK
11,Sun, Nov 21,Seattle,W34-19,Brees  382,Ivory  99,Colston  113
14,Sun, Dec 12,St. Louis,W31-13,Brees  221,Ivory  47,Moore  70
17,Sun, Jan 2,Tampa Bay,L23-13,Brees  196,Bush  70,Arrington  79
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 21,Houston,W38-20,Box Score
3,Fri, Aug 27,San Diego,W36-21,Box Score
#2011 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sat, Jan 7,Detroit,W45-28,Brees  466,Thomas  66,Colston  120
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,Chicago,W30-13,Brees  270,Ingram  51,Henderson  103
3,Sun, Sep 25,Houston,W40-33,Brees  370,Ingram  38,Graham  100
7,Sun, Oct 23,Indianapolis,W62-7,Brees  325,Ingram  91,Colston  98
9,Sun, Nov 6,Tampa Bay,W27-16,Brees  258,Ivory  67,Graham  78
#11,BYE WEEK
12,Mon, Nov 28,New York,W49-24,Brees  363,Ingram  80,Graham  84
13,Sun, Dec 4,Detroit,W31-17,Brees  342,Ingram  54,Meachem  119
16,Mon, Dec 26,Atlanta,W45-16,Brees  307,Sproles  67,Colston  81
17,Sun, Jan 1,Carolina,W45-17,Brees  389,Ivory  127,Colston  145
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 12,San Francisco,W24-3,Box Score
4,Thu, Sep 1,Tennessee,L32-9,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,Washington,L40-32,Brees  339,Thomas  17,Moore  120
3,Sun, Sep 23,Kansas City,L27-24 OT,Brees  240,Sproles  62,Moore  70
5,Sun, Oct 7,San Diego,W31-24,Brees  370,Thomas  30,Colston  131
#6,BYE WEEK
9,Mon, Nov 5,Philadelphia,W28-13,Brees  239,Ivory  48,Graham  72
10,Sun, Nov 11,Atlanta,W31-27,Brees  298,Ivory  72,Graham  146
12,Sun, Nov 25,San Francisco,L31-21,Brees  267,Ivory  34,Sproles  65
15,Sun, Dec 16,Tampa Bay,W41-0,Brees  307,Ingram  90,Graham  69
17,Sun, Dec 30,Carolina,L44-38,Brees  396,Ingram  39,Moore  121
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Sun, Aug 5,Arizona,W17-10,Box Score
2,Fri, Aug 17,Jacksonville,L27-24,Box Score
3,Sat, Aug 25,Houston,W34-27,Box Score
#2013 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Atlanta,W23-17,Brees  357,Thomas  43,Sproles  88
3,Sun, Sep 22,Arizona,W31-7,Brees  342,Robinson  38,Graham  134
4,Mon, Sep 30,Miami,W38-17,Brees  413,Robinson  37,Sproles  114
#7,BYE WEEK
8,Sun, Oct 27,Buffalo,W35-17,Brees  332,Thomas  65,Stills  129
10,Sun, Nov 10,Dallas,W49-17,Brees  392,Ingram  145,Colston  107
11,Sun, Nov 17,San Francisco,W23-20,Brees  305,Thomas  49,Colston  80
14,Sun, Dec 8,Carolina,W31-13,Brees  313,Sproles  38,Colston  125
17,Sun, Dec 29,Tampa Bay,W42-17,Brees  381,Robinson  50,Stills  76
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 9,Kansas City,W17-13,Box Score
2,Fri, Aug 16,Oakland,W28-20,Box Score
