#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Aug 19,New York,L13-12,Box Score
#2008 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 7,Cincinnati,W17-10,Flacco  129,McClain  86,Mason  44
#2,BYE WEEK
3,Sun, Sep 21,Cleveland,W28-10,Flacco  129,McClain  66,Mason  42
5,Sun, Oct 5,Tennessee,L13-10,Flacco  153,McGahee  64,Heap  41
8,Sun, Oct 26,Oakland,W29-10,Flacco  140,Rice  64,Williams  70
12,Sun, Nov 23,Philadelphia,W36-7,Flacco  183,McClain  88,Clayton  76
14,Sun, Dec 7,Washington,W24-10,Flacco  134,McClain  61,Mason  60
15,Sun, Dec 14,Pittsburgh,L13-9,Flacco  115,McClain  87,Clayton  38
17,Sun, Dec 28,Jacksonville,W27-7,Flacco  297,McClain  70,Clayton  128
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 16,Minnesota,L23-15,Box Score
4,Thu, Aug 28,Atlanta,L10-9,Box Score
#2009 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 13,Kansas City,W38-24,Flacco  307,Rice  108,Clayton  77
3,Sun, Sep 27,Cleveland,W34-3,Flacco  342,McGahee  67,Mason  118
5,Sun, Oct 11,Cincinnati,L17-14,Flacco  186,Rice  69,Rice  74
#7,BYE WEEK
8,Sun, Nov 1,Denver,W30-7,Flacco  175,Rice  84,Washington  58
11,Sun, Nov 22,Indianapolis,L17-15,Flacco  256,Rice  71,Mason  142
12,Sun, Nov 29,Pittsburgh,W20-17 OT,Flacco  289,Rice  88,Clayton  129
14,Sun, Dec 13,Detroit,W48-3,Flacco  230,Rice  166,Mason  94
15,Sun, Dec 20,Chicago,W31-7,Flacco  234,Rice  87,Mason  87
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 13,Washington,W23-0,Box Score
2,Mon, Aug 24,New York,W24-23,Box Score
#2010 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 26,Cleveland,W24-17,Flacco  262,Rice  80,Boldin  142
5,Sun, Oct 10,Denver,W31-17,Flacco  196,Rice  133,Dickson  58
7,Sun, Oct 24,Buffalo,W37-34 OT,Flacco  250,Rice  72,Boldin  92
#8,BYE WEEK
9,Sun, Nov 7,Miami,W26-10,Flacco  266,Rice  83,Rice  97
12,Sun, Nov 28,Tampa Bay,W17-10,Flacco  289,Rice  82,Mason  87
13,Sun, Dec 5,Pittsburgh,L13-10,Flacco  266,Rice  32,Boldin  118
15,Sun, Dec 19,New Orleans,W30-24,Flacco  172,Rice  153,Rice  80
17,Sun, Jan 2,Cincinnati,W13-7,Flacco  125,Rice  77,Heap  53
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 12,Carolina,W17-12,Box Score
3,Sat, Aug 28,New York,W24-10,Box Score
#2011 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
DIV,Sun, Jan 15,Houston,W20-13,Flacco  176,Rice  60,Boldin  73
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Pittsburgh,W35-7,Flacco  224,Rice  107,Boldin  74
4,Sun, Oct 2,New York,W34-17,Flacco  163,Rice  66,Rice  64
#5,BYE WEEK
6,Sun, Oct 16,Houston,W29-14,Flacco  305,Rice  101,Boldin  132
8,Sun, Oct 30,Arizona,W30-27,Flacco  336,Rice  63,Boldin  145
11,Sun, Nov 20,Cincinnati,W31-24,Flacco  270,Rice  104,Smith  165
12,Thu, Nov 24,San Francisco,W16-6,Flacco  161,Rice  59,Boldin  63
14,Sun, Dec 11,Indianapolis,W24-10,Flacco  227,Rice  103,Boldin  57
16,Sat, Dec 24,Cleveland,W20-14,Flacco  132,Rice  87,Rice  48
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 19,Kansas City,W31-13,Box Score
3,Thu, Aug 25,Washington,W34-31,Box Score
#2012 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 6,Indianapolis,W24-9,Flacco  282,Pierce  103,Boldin  145
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 10,Cincinnati,W44-13,Flacco  299,Rice  68,Pitta  73
