#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
8,Sun, Oct 26,Washington,L25-17,Orlovsky  223,Johnson  21,McDonald  68
10,Sun, Nov 9,Jacksonville,L38-14,Culpepper  104,Smith  96,Johnson  92
12,Sun, Nov 23,Tampa Bay,L38-20,Culpepper  121,Smith  86,Johnson  66
13,Thu, Nov 27,Tennessee,L47-10,Culpepper  134,Smith  22,Johnson  66
14,Sun, Dec 7,Minnesota,L20-16,Culpepper  220,Smith  64,Johnson  84
16,Sun, Dec 21,New Orleans,L42-7,Orlovsky  125,Smith  111,Johnson  64
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 7,New York,W13-10,Box Score
3,Sat, Aug 23,Cleveland,W26-6,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 20,Minnesota,L27-13,Stafford  152,Smith  83,Johnson  51
3,Sun, Sep 27,Washington,W19-14,Stafford  241,Smith  101,Johnson  73
5,Sun, Oct 11,Pittsburgh,L28-20,Culpepper  282,Smith  53,Northcutt  79
#7,BYE WEEK
8,Sun, Nov 1,St. Louis,L17-10,Stafford  168,Morris  63,Smith  49
11,Sun, Nov 22,Cleveland,W38-37,Stafford  422,Smith  45,Johnson  161
12,Thu, Nov 26,Green Bay,L34-12,Stafford  213,Smith  43,Northcutt  51
15,Sun, Dec 20,Arizona,L31-24,Stanton  72,Morris  126,Morris Johnson  35
17,Sun, Jan 3,Chicago,L37-23,Culpepper  262,Morris  65,Johnson  86
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 15,Atlanta,W27-26,Box Score
3,Sat, Aug 29,Indianapolis,W18-17,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Philadelphia,L35-32,Hill  335,Best  78,Best  154
5,Sun, Oct 10,St. Louis,W44-6,Hill  227,Best  59,Burleson  56
#7,BYE WEEK
8,Sun, Oct 31,Washington,W37-25,Stafford  212,Smith  51,Johnson  101
9,Sun, Nov 7,New York,L23-20 OT,Stafford  240,Best  48,Burleson  113
12,Thu, Nov 25,New England,L45-24,Hill  285,Morris  55,Johnson  81
13,Sun, Dec 5,Chicago,L24-20,Stanton  178,Best  65,Johnson  66
14,Sun, Dec 12,Green Bay,W7-3,Stanton  117,Morris  51,Johnson  44
17,Sun, Jan 2,Minnesota,W20-13,Hill  258,Best  34,Burleson  83
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sat, Aug 28,Cleveland,W35-27,Box Score
4,Thu, Sep 2,Buffalo,W28-23,Box Score
#2011 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 18,Kansas City,W48-3,Stafford  294,Best  57,Burleson  93
5,Mon, Oct 10,Chicago,W24-13,Stafford  219,Best  163,Johnson  130
6,Sun, Oct 16,San Francisco,L25-19,Stafford  293,Best  37,Johnson  113
7,Sun, Oct 23,Atlanta,L23-16,Stafford  183,Morris  50,Johnson  115
#9,BYE WEEK
11,Sun, Nov 20,Carolina,W49-35,Stafford  335,Smith  140,Johnson  89
