#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 8,Denver,L41-14,Russell  180,Fargas  97,Griffith  39
4,Sun, Sep 28,San Diego,L28-18,Russell  277,Bush  48,Miller  95
#5,BYE WEEK
7,Sun, Oct 19,New York,W16-13 OT,Russell  203,Fargas  74,Walker  75
9,Sun, Nov 2,Atlanta,L24-0,Russell  31,Russell  46,Bush  15
10,Sun, Nov 9,Carolina,L17-6,Walter  143,Fargas  89,Bush  43
13,Sun, Nov 30,Kansas City,L20-13,Russell  132,Fargas  82,Miller  79
15,Sun, Dec 14,New England,L49-26,Russell  242,Fargas  70,McFadden  68
16,Sun, Dec 21,Houston,W27-16,Russell  236,Fargas  93,Miller  70
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 8,San Francisco,W18-6,Box Score
3,Sat, Aug 23,Arizona,L24-0,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 14,San Diego,L24-20,Russell  208,McFadden  68,Miller  96
3,Sun, Sep 27,Denver,L23-3,Russell  61,McFadden  45,Murphy  25
6,Sun, Oct 18,Philadelphia,W13-9,Russell  224,Fargas  87,Miller  139
7,Sun, Oct 25,New York,L38-0,Gradkowski  97,Fargas  67,Murphy  58
#9,BYE WEEK
10,Sun, Nov 15,Kansas City,L16-10,Russell  64,Bush  119,Higgins  41
11,Sun, Nov 22,Cincinnati,W20-17,Gradkowski  183,Fargas  32,Miller  65
14,Sun, Dec 13,Washington,L34-13,Gradkowski  153,Fargas McFadden  21,McFadden  84
17,Sun, Jan 3,Baltimore,L21-13,Frye  180,Bush  18,Schilens  99
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 13,Dallas,W31-10,Box Score
3,Sat, Aug 29,New Orleans,L45-7,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,St. Louis,W16-14,Gradkowski  162,McFadden  145,Murphy  91
4,Sun, Oct 3,Houston,L31-24,Gradkowski  278,McFadden  47,Miller  122
5,Sun, Oct 10,San Diego,W35-27,Campbell  159,Bush  104,Miller  62
8,Sun, Oct 31,Seattle,W33-3,Campbell  310,McFadden  111,Heyward-Bey  105
9,Sun, Nov 7,Kansas City,W23-20 OT,Campbell  229,McFadden  89,Ford  148
#10,BYE WEEK
12,Sun, Nov 28,Miami,L33-17,Gradkowski  252,Ford  13,Ford  108
15,Sun, Dec 19,Denver,W39-23,Campbell  238,McFadden  119,Reece  79
16,Sun, Dec 26,Indianapolis,L31-26,Campbell  231,McFadden  45,Miller  66
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Sat, Aug 28,San Francisco,L28-24,Box Score
