#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#10,BYE WEEK
12,Sun, Nov 25,Washington,W19-13,Gradkowski  106,Graham  75,Hilliard  44
15,Sun, Dec 16,Atlanta,W37-3,Garcia  109,Graham  79,Graham  40
17,Sun, Dec 30,Carolina,L31-23,McCown  236,McCown  47,Lucas  82
#2007 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
HOF,Fri, Aug 10,New England,W13-10,Box Score
3,Thu, Aug 30,Houston,W31-24,Box Score
#2008 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Atlanta,W24-9,Griese  160,Graham  116,Hilliard Gilmore  41
4,Sun, Sep 28,Green Bay,W30-21,Griese  149,Graham  111,Bryant  39
6,Sun, Oct 12,Carolina,W27-3,Garcia  173,Dunn  115,Graham  47
7,Sun, Oct 19,Seattle,W20-10,Garcia  310,Graham  52,Bryant  115
#10,BYE WEEK
11,Sun, Nov 16,Minnesota,W19-13,Garcia  255,Dunn  53,Stevens  84
13,Sun, Nov 30,New Orleans,W23-20,Garcia  119,Dunn  74,Bryant  63
16,Sun, Dec 21,San Diego,L41-24,Garcia  232,Garcia  45,Bryant  127
17,Sun, Dec 28,Oakland,L31-24,Garcia  257,Williams  78,Clayton  87
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sun, Aug 17,New England,W27-10,Box Score
3,Sat, Aug 23,Jacksonville,L23-17,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 13,Dallas,L34-21,Leftwich  276,Williams  97,Clayton  93
3,Sun, Sep 27,New York,L24-0,Johnson  36,Johnson  15,Stroughter  23
6,Sun, Oct 18,Carolina,L28-21,Johnson  147,Williams  77,Stroughter  65
7,Sun, Oct 25,New England,L35-7,Johnson  156,Ward  43,Stroughter  63
#8,BYE WEEK
9,Sun, Nov 8,Green Bay,W38-28,Freeman  205,Williams  56,Winslow  57
11,Sun, Nov 22,New Orleans,L38-7,Freeman  126,Williams  32,Bryant  40
14,Sun, Dec 13,New York,L26-3,Freeman  93,Freeman  21,Winslow  26
17,Sun, Jan 3,Atlanta,L20-10,Freeman  172,Williams  42,Winslow  56
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Thu, Aug 27,Miami,L10-6,Box Score
4,Fri, Sep 4,Houston,L27-20,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 12,Cleveland,W17-14,Freeman  182,Williams  75,Spurlock  49
3,Sun, Sep 26,Pittsburgh,L38-13,Freeman  184,Blount  27,Graham  57
#4,BYE WEEK
6,Sun, Oct 17,New Orleans,L31-6,Freeman  219,Williams  18,Williams  63
7,Sun, Oct 24,St. Louis,W18-17,Freeman  212,Blount  72,Williams  82
10,Sun, Nov 14,Carolina,W31-16,Freeman  241,Blount  91,Williams  68
13,Sun, Dec 5,Atlanta,L28-24,Freeman  181,Blount  103,Williams  68
15,Sun, Dec 19,Detroit,L23-20 OT,Freeman  251,Blount  110,Williams  96
16,Sun, Dec 26,Seattle,W38-15,Freeman  237,Blount  164,Winslow  98
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 21,Kansas City,W20-15,Box Score
3,Sat, Aug 28,Jacksonville,L19-13,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Detroit,L27-20,Freeman  259,Freeman  26,Winslow  66
3,Sun, Sep 25,Atlanta,W16-13,Freeman  180,Blount  81,Williams  43
4,Mon, Oct 3,Indianapolis,W24-17,Freeman  287,Blount  127,Parker  70
6,Sun, Oct 16,New Orleans,W26-20,Freeman  303,Graham  109,Benn  83
7,Sun, Oct 23,Chicago,L24-18,Freeman  264,Lumpkin  15,Williams  75
#8,BYE WEEK
10,Sun, Nov 13,Houston,L37-9,Freeman  170,Blount  34,Benn  47
