#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 14,Pittsburgh,L10-6,Anderson  166,Lewis  38,Winslow  55
#5,BYE WEEK
6,Mon, Oct 13,New York,W35-14,Anderson  310,Lewis  88,Edwards  154
9,Sun, Nov 2,Baltimore,L37-27,Anderson  219,Lewis  49,Edwards  86
10,Thu, Nov 6,Denver,L34-30,Quinn  239,Lewis  60,Winslow  111
12,Sun, Nov 23,Houston,L16-6,Quinn  94,Lewis  58,Edwards  85
13,Sun, Nov 30,Indianapolis,L10-6,Anderson  110,Lewis  77,Edwards  36
16,Sun, Dec 21,Cincinnati,L14-0,Dorsey  64,Lewis  76,Wright  33
#2008 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 7,New York,L24-20,Box Score
4,Thu, Aug 28,Chicago,L16-10,Box Score
#2009 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 13,Minnesota,L34-20,Quinn  205,Lewis  57,Royal  60
4,Sun, Oct 4,Cincinnati,L23-20 OT,Anderson  269,Harrison  121,Massaquoi  148
7,Sun, Oct 25,Green Bay,L31-3,Anderson  99,Lewis  47,Gaines  30
#9,BYE WEEK
10,Mon, Nov 16,Baltimore,L16-0,Quinn  99,Lewis  36,Furrey Massaquoi  30
13,Sun, Dec 6,San Diego,L30-23,Quinn  271,Cribbs  38,Moore  80
14,Thu, Dec 10,Pittsburgh,W13-6,Quinn  90,Cribbs  87,Massaquoi  37
16,Sun, Dec 27,Oakland,W23-9,Anderson  121,Harrison  148,Massaquoi  61
17,Sun, Jan 3,Jacksonville,W23-17,Anderson  86,Harrison  127,Royal  34
#2009 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 22,Detroit,W27-10,Box Score
3,Sat, Aug 29,Tennessee,W23-17,Box Score
#2010 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 19,Kansas City,L16-14,Wallace  229,Hillis  35,Cribbs  74
4,Sun, Oct 3,Cincinnati,W23-20,Wallace  184,Hillis  102,Watson  60
5,Sun, Oct 10,Atlanta,L20-10,Wallace  139,Hillis  28,Massaquoi  55
#8,BYE WEEK
9,Sun, Nov 7,New England,W34-14,McCoy  174,Hillis  184,Massaquoi  58
10,Sun, Nov 14,New York,L26-20 OT,McCoy  205,Hillis  82,Watson  74
12,Sun, Nov 28,Carolina,W24-23,Delhomme  245,Hillis  131,Hillis  63
16,Sun, Dec 26,Baltimore,L20-10,McCoy  149,Hillis  35,Bell  48
17,Sun, Jan 2,Pittsburgh,L41-9,McCoy  209,McCoy  19,Watson  67
#2010 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 21,St. Louis,L19-17,Box Score
4,Thu, Sep 2,Chicago,W13-10,Box Score
#2011 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 11,Cincinnati,L27-17,McCoy  213,Hillis  57,Massaquoi  77
3,Sun, Sep 25,Miami,W17-16,McCoy  210,Hardesty  67,Watson  64
4,Sun, Oct 2,Tennessee,L31-13,McCoy  350,Hillis  46,Little  57
#5,BYE WEEK
7,Sun, Oct 23,Seattle,W6-3,McCoy  178,Hardesty  95,Ogbonnaya  43
10,Sun, Nov 13,St. Louis,L13-12,McCoy  218,Ogbonnaya  90,Little  84
11,Sun, Nov 20,Jacksonville,W14-10,McCoy  199,Ogbonnaya  115,Little  59
13,Sun, Dec 4,Baltimore,L24-10,McCoy  192,Hillis  45,Hillis  52
17,Sun, Jan 1,Pittsburgh,L13-9,Wallace  177,Wallace  44,Cribbs  91
#2011 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 13,Green Bay,W27-17,Box Score
2,Fri, Aug 19,Detroit,L30-28,Box Score
#2012 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 9,Philadelphia,L17-16,Weeden  118,Richardson  39,Massaquoi  41
3,Sun, Sep 23,Buffalo,L24-14,Weeden  237,Richardson  27,Cameron  45
6,Sun, Oct 14,Cincinnati,W34-24,Weeden  231,Hardesty  56,Gordon  99
8,Sun, Oct 28,San Diego,W7-6,Weeden  129,Richardson  122,Gordon  46
9,Sun, Nov 4,Baltimore,L25-15,Weeden  176,Richardson  105,Little  52
#10,BYE WEEK
12,Sun, Nov 25,Pittsburgh,W20-14,Weeden  158,Richardson  85,Gordon  60
14,Sun, Dec 9,Kansas City,W30-7,Weeden  217,Hardesty  52,Gordon  86
15,Sun, Dec 16,Washington,L38-21,Weeden  244,Richardson  28,Little  74
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
3,Fri, Aug 24,Philadelphia,L27-10,Box Score
4,Thu, Aug 30,Chicago,L28-20,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Miami,L23-10,Weeden  289,Richardson  47,Cameron  108
4,Sun, Sep 29,Cincinnati,W17-6,Hoyer  269,McGahee  46,Cameron  91
5,Thu, Oct 3,Buffalo,W37-24,Weeden  197,McGahee  72,Gordon  86
6,Sun, Oct 13,Detroit,L31-17,Weeden  292,Benjamin  45,Gordon  126
9,Sun, Nov 3,Baltimore,W24-18,Campbell  262,McGahee  31,Little  122
#10,BYE WEEK
12,Sun, Nov 24,Pittsburgh,L27-11,Weeden  209,Ogbonnaya  26,Gordon  237
13,Sun, Dec 1,Jacksonville,L32-28,Weeden  370,McGahee  57,Gordon  261
15,Sun, Dec 15,Chicago,L38-31,Campbell  273,Baker  38,Little  68
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 8,St. Louis,W27-19,Box Score
2,Thu, Aug 15,Detroit,W24-6,Box Score
