# Receiving,Rushing,Fumbles
# PID,TID,Season,Week,Rec,Tgt,Yds,Y/R,Lng,TD,Att,Yds,Y/A,Lng,TD,Fum,FumL
WASTE013,ATL,2001,2,4,N/A,86,21.5,46,0,0,0,N/A,N/A,0,0,0
MINTE006,MIN,2001,2,1,N/A,3,3.0,3,1,0,0,N/A,N/A,0,0,0
DALTE003,CIN,2001,2,1,N/A,8,8.0,8,0,0,0,N/A,N/A,0,0,0
DALTE009,STL,2001,2,1,N/A,1,1.0,1,1,0,0,N/A,N/A,0,0,0
TENTE009,TEN,2001,2,3,N/A,19,6.3,11,0,0,0,N/A,N/A,0,0,0
NORTE008,STL,2001,2,1,N/A,31,31.0,31,0,0,0,N/A,N/A,0,0,0
WASTE005,CIN,2001,2,2,N/A,20,10.0,17,0,0,0,N/A,N/A,0,0,0
CARTE005,CAR,2001,2,1,N/A,5,5.0,5,0,0,0,N/A,N/A,0,0,0
PHITE007,PHI,2001,2,3,N/A,13,4.3,6,0,0,0,N/A,N/A,0,0,0
CARTE003,CAR,2001,2,1,N/A,9,9.0,9,0,0,0,N/A,N/A,0,0,0
JACTE007,JAC,2001,2,2,N/A,58,29.0,40,0,0,0,N/A,N/A,0,1,1
ATLTE003,KAN,2001,2,5,N/A,43,8.6,16,0,0,0,N/A,N/A,0,0,0
TAMTE004,CLE,2001,2,2,N/A,37,18.5,19,0,0,0,N/A,N/A,0,0,0
PITTE005,BUF,2001,2,5,N/A,36,7.2,11,0,0,0,N/A,N/A,0,0,0
ARITE005,SDG,2001,2,5,N/A,51,10.2,12,1,0,0,N/A,N/A,0,0,0
DENTE010,BAL,2001,2,8,N/A,84,10.5,27,0,0,0,N/A,N/A,0,0,0
MINTE007,MIN,2001,3,8,N/A,51,6.4,12,0,1,1,1.0,1,0,0,0
GNBTE003,GNB,2001,3,1,N/A,3,3.0,3,0,0,0,N/A,N/A,0,0,0
CHITE006,DEN,2001,3,5,N/A,67,13.4,23,0,0,0,N/A,N/A,0,1,1
CINTE008,ATL,2001,3,3,N/A,28,9.3,14,0,0,0,N/A,N/A,0,0,0
OAKTE001,OAK,2001,3,1,N/A,7,7.0,7,0,0,0,N/A,N/A,0,0,0
STLTE012,OAK,2001,3,2,N/A,11,5.5,7,0,0,0,N/A,N/A,0,0,0
ARITE003,ARI,2001,3,2,N/A,25,12.5,13,1,0,0,N/A,N/A,0,0,0
NWETE005,MIA,2001,3,1,N/A,5,5.0,5,0,0,0,N/A,N/A,0,0,0
DALTE001,DAL,2001,3,2,N/A,8,4.0,7,0,0,0,N/A,N/A,0,0,0
BALTE009,BAL,2001,3,2,N/A,13,6.5,13,0,0,0,N/A,N/A,0,0,0
NORTE004,SFO,2001,3,2,N/A,20,10.0,11,0,0,0,N/A,N/A,0,1,1
DALTE007,DAL,2001,3,1,N/A,1,1.0,1,0,0,0,N/A,N/A,0,0,0
MINTE002,NWE,2001,3,1,N/A,11,11.0,11,0,0,0,N/A,N/A,0,0,0
KANTE008,NYJ,2001,3,3,N/A,24,8.0,9,0,0,0,N/A,N/A,0,0,0
SFOTE008,SFO,2001,3,1,N/A,9,9.0,9,0,0,0,N/A,N/A,0,0,0
NYJTE007,GNB,2001,3,3,N/A,34,11.3,16,1,0,0,N/A,N/A,0,0,0
DETTE008,KAN,2001,3,3,N/A,40,13.3,26,0,0,0,N/A,N/A,0,0,0
STLTE007,NOR,2001,3,1,N/A,3,3.0,3,0,0,0,N/A,N/A,0,0,0
NWETE002,JAC,2001,3,1,N/A,14,14.0,14,0,0,0,N/A,N/A,0,0,0
CARTE006,SEA,2001,3,4,N/A,34,8.5,12,1,0,0,N/A,N/A,0,0,0
SEATE007,IND,2001,3,4,N/A,63,15.8,21,1,0,0,N/A,N/A,0,0,0
TAMTE007,IND,2001,3,1,N/A,11,11.0,11,0,0,0,N/A,N/A,0,0,0
DALTE009,STL,2001,3,2,N/A,14,7.0,10,0,0,0,N/A,N/A,0,0,0
DENTE010,BAL,2001,3,5,N/A,50,10.0,17,0,0,0,N/A,N/A,0,0,0
DALTE003,CIN,2001,3,2,N/A,17,8.5,9,0,0,0,N/A,N/A,0,0,0
WASTE010,MIN,2001,3,4,N/A,88,22.0,37,0,0,0,N/A,N/A,0,0,0
NORTE008,STL,2001,3,3,N/A,27,9.0,24,0,0,0,N/A,N/A,0,0,0
JACTE007,JAC,2001,3,1,N/A,16,16.0,16,0,0,0,N/A,N/A,0,0,0
PHITE007,PHI,2001,3,4,N/A,43,10.8,17,2,0,0,N/A,N/A,0,0,0
DENTE009,DEN,2001,3,2,N/A,13,6.5,9,0,0,0,N/A,N/A,0,0,0
ATLTE003,KAN,2001,3,5,N/A,88,17.6,35,1,0,0,N/A,N/A,0,0,0
PITTE005,BUF,2001,3,2,N/A,35,17.5,24,0,0,0,N/A,N/A,0,0,0
