# Tackles,Sacks,Interceptions,Misc
# PID,TID,Season,Week,Solo,Ast,Tot,Sacks,Yds,Int,Yds,TD,FrcdFum,PassDef
NWECB0327,NYJ,2001,1,2,1,3,0.0,0,0,0,0,0,0
ATLCB0166,JAC,2001,1,3,0,3,0.0,0,0,0,0,0,1
DALCB0218,GNB,2001,1,4,1,5,0.0,0,0,0,0,0,0
SFOCB0441,CHI,2001,1,4,0,4,0.0,0,0,0,0,0,0
DETCB0189,SDG,2001,1,5,0,5,0.0,0,1,0,0,0,3
CINCB0258,OAK,2001,1,2,0,2,0.0,0,0,0,0,0,0
TENCB0062,TEN,2001,1,2,0,2,0.0,0,0,0,0,0,1
NYJCB0209,TAM,2001,1,3,0,3,0.0,0,0,0,0,0,0
NORCB0373,NOR,2001,1,6,0,6,0.0,0,0,0,0,0,1
WASCB0118,WAS,2001,1,2,0,2,0.0,0,0,0,0,0,0
MINCB0055,MIN,2001,2,2,0,2,0.0,0,0,0,0,0,0
INDCB0205,IND,2001,2,2,0,2,0.0,0,0,0,0,0,0
STLCB0188,GNB,2001,2,1,1,2,0.0,0,0,0,0,0,0
CINCB0029,CIN,2001,2,4,0,4,0.0,0,0,0,0,0,2
NWECB0456,DEN,2001,2,6,1,7,0.0,0,0,0,0,0,1
CARCB0054,CAR,2001,2,1,0,1,0.0,0,0,0,0,0,0
NYGCB0154,SEA,2001,2,1,0,1,0.0,0,0,0,0,0,2
NWECB0457,SFO,2001,2,4,1,5,0.0,0,0,0,0,1,2
SFOCB0287,SFO,2001,2,5,0,5,0.0,0,1,0,0,0,3
DALCB0109,DAL,2001,2,2,1,3,0.0,0,0,0,0,0,0
STLCB0420,JAC,2001,2,2,0,2,0.0,0,0,0,0,0,1
NORCB0468,GNB,2001,2,4,0,4,0.0,0,0,0,0,0,0
CLECB0312,CLE,2001,2,6,0,6,0.0,0,0,0,0,1,0
SFOCB0500,STL,2001,2,1,0,1,0.0,0,0,0,0,0,1
PITCB0518,JAC,2001,2,2,0,2,0.0,0,0,0,0,0,1
SEACB0051,SEA,2001,2,7,0,7,0.0,0,0,0,0,0,2
SFOCB0062,SFO,2001,2,1,1,2,0.0,0,0,0,0,0,1
CHICB0281,CHI,2001,2,5,1,6,0.0,0,0,0,0,0,0
CLECB0421,MIN,2001,2,4,0,4,0.0,0,0,0,0,0,0
TENCB0120,TEN,2001,2,6,1,7,0.0,0,0,0,0,0,1
SDGCB0050,SDG,2001,2,1,0,1,0.0,0,0,0,0,0,0
WASCB0386,IND,2001,2,2,1,3,0.0,0,0,0,0,0,1
NYJCB0155,NYJ,2001,2,1,0,1,0.0,0,0,0,0,0,0
DETCB0578,CLE,2001,2,1,1,2,0.0,0,3,58,0,0,3
SFOCB0550,NYG,2001,2,2,0,2,0.0,0,0,0,0,0,0
MINCB0147,MIN,2001,2,2,0,2,0.0,0,0,0,0,0,0
BUFCB0318,STL,2001,2,2,0,2,0.0,0,0,0,0,0,0
NYJCB0154,NWE,2001,2,1,0,1,0.0,0,0,0,0,0,0
INDCB0075,IND,2001,2,2,0,2,0.0,0,0,0,0,0,0
NYGCB0341,DAL,2001,2,1,0,1,0.0,0,0,0,0,0,0
CARCB0214,PHI,2001,2,1,1,2,0.0,0,0,0,0,0,0
SDGCB0158,SDG,2001,2,3,0,3,0.0,0,1,0,0,0,1
WASCB0504,WAS,2001,2,0,0,0,0.0,0,1,0,0,0,1
JACCB0114,CIN,2001,2,2,1,3,0.0,0,0,0,0,0,0
DALCB0056,DAL,2001,2,2,0,2,0.0,0,0,0,0,0,2
NYJCB0453,ARI,2001,2,1,0,1,0.0,0,0,0,0,0,0
BUFCB0316,JAC,2001,2,1,0,1,0.0,0,0,0,0,0,1
TAMCB0138,DAL,2001,2,1,1,2,0.0,0,0,0,0,0,0
SEACB0487,SEA,2001,2,5,2,7,0.0,0,0,0,0,0,0
PITSS0720,NYG,2001,2,4,0,4,0.0,0,0,0,0,0,2
HOUCB0096,ATL,2001,2,0,1,1,0.0,0,0,0,0,0,0
MINCB0705,BUF,2001,2,2,2,4,0.0,0,1,0,0,1,1
NORCB0469,BAL,2001,2,2,2,4,0.0,0,0,0,0,0,0
NORCB0425,NYJ,2001,2,0,1,1,0.0,0,1,0,0,0,1
CINCB0089,IND,2001,2,4,2,6,0.0,0,0,0,0,0,0
CINCB0031,CIN,2001,2,1,0,1,0.0,0,0,0,0,0,2
NYGCB0052,NYG,2001,2,1,0,1,0.0,0,0,0,0,0,0
SEACB0230,PHI,2001,2,4,0,4,0.0,0,0,0,0,1,1
DENCB0549,NWE,2001,2,7,3,10,0.0,0,0,0,0,0,0
MINCB0284,BUF,2001,2,7,0,7,0.0,0,0,0,0,0,0
BALCB0198,CLE,2001,2,4,2,6,0.0,0,1,1,0,0,2
CARCB0056,CAR,2001,2,3,1,4,0.0,0,0,0,0,0,1
DENCB0198,SDG,2001,2,3,0,3,0.0,0,2,32,0,0,2
DETCB0190,CAR,2001,2,2,0,2,0.0,0,1,27,0,0,1
DETCB0138,DEN,2001,2,1,0,1,0.0,0,0,0,0,0,0
OAKCB0036,OAK,2001,2,4,1,5,0.0,0,0,0,0,0,1
KANCB0081,KAN,2001,2,3,0,3,0.0,0,1,8,0,0,3
DETCB0137,DET,2001,2,5,0,5,0.0,0,0,0,0,0,0
DETCB0066,DET,2001,2,0,0,0,0.0,0,1,0,0,0,1
INDCB0079,IND,2001,2,3,0,3,0.0,0,0,0,0,0,1
NYJCB0208,NWE,2001,2,1,0,1,0.0,0,0,0,0,0,0
NORCB0206,ATL,2001,2,3,0,3,0.0,0,0,0,0,0,1
BUFCB0047,BUF,2001,2,3,0,3,0.0,0,0,0,0,0,0
SFOCB0441,CHI,2001,2,5,1,6,0.0,0,0,0,0,0,0
STLCB0247,DET,2001,2,3,0,3,0.0,0,1,26,1,0,1
OAKCB0299,BAL,2001,2,4,0,4,0.0,0,0,0,0,0,0
CLECB0469,MIA,2001,2,2,0,2,0.0,0,0,0,0,0,0
KANCB0039,KAN,2001,2,1,0,1,0.0,0,0,0,0,0,0
NYGCB0464,CHI,2001,2,3,0,3,1.0,7,0,0,0,1,1
KANCB0408,MIA,2001,2,1,0,1,0.0,0,0,0,0,0,1
DENCB0791,WAS,2001,2,3,0,3,0.0,0,0,0,0,0,1
KANCB0223,KAN,2001,2,6,0,6,0.0,0,1,0,0,0,2
BALCB0463,TEN,2001,2,7,0,7,1.0,0,0,0,0,0,0
ARICB0233,MIN,2001,2,4,0,4,0.0,0,0,0,0,0,1
OAKCB0241,DEN,2001,2,4,1,5,0.0,0,1,21,0,0,1
NWECB0327,NYJ,2001,2,2,2,4,0.0,0,0,0,0,0,1
ATLCB0166,JAC,2001,2,5,0,5,0.0,0,0,0,0,0,2
DALCB0218,GNB,2001,2,4,0,4,0.0,0,0,0,0,1,0
CLECB0063,CLE,2001,2,2,0,2,0.0,0,0,0,0,0,0
CINCB0258,OAK,2001,2,3,0,3,0.0,0,0,0,0,0,1
HOUCB0271,STL,2001,2,6,0,6,0.0,0,0,0,0,0,2
NYGCB0465,MIA,2001,2,1,0,1,0.0,0,0,0,0,0,0
TENCB0062,TEN,2001,2,2,0,2,0.0,0,0,0,0,0,0
WASCB0118,WAS,2001,2,1,0,1,0.0,0,0,0,0,0,0
CINCB0029,CIN,2001,3,5,0,5,0.0,0,0,0,0,0,0
ARICB0104,ARI,2001,3,1,0,1,0.0,0,0,0,0,0,0
STLCB0420,JAC,2001,3,0,1,1,0.0,0,0,0,0,0,1
STLCB0188,GNB,2001,3,0,0,0,0.0,0,0,0,0,0,2
INDCB0205,IND,2001,3,0,1,1,0.0,0,0,0,0,0,0
SFOCB0287,SFO,2001,3,3,0,3,0.0,0,0,0,0,0,3
CARCB0054,CAR,2001,3,6,0,6,0.0,0,0,0,0,0,0
NWECB0456,DEN,2001,3,4,1,5,0.0,0,0,0,0,0,0
CLECB0421,MIN,2001,3,1,1,2,0.0,0,0,0,0,0,0
SFOCB0062,SFO,2001,3,2,1,3,0.0,0,0,0,0,0,0
MINCB0705,BUF,2001,3,6,1,7,0.0,0,0,0,0,0,1
DENCB0791,WAS,2001,3,4,0,4,0.0,0,0,0,0,0,2
STLCB0604,PHI,2001,3,2,0,2,0.0,0,1,14,0,0,3
PITCB0518,JAC,2001,3,8,1,9,0.0,0,0,0,0,0,0
SFOCB0500,STL,2001,3,1,0,1,0.0,0,1,0,0,0,1
NORCB0468,GNB,2001,3,4,0,4,0.0,0,0,0,0,0,0
BUFCB0096,BUF,2001,3,2,1,3,0.0,0,0,0,0,0,0
CLECB0312,CLE,2001,3,1,0,1,0.0,0,1,32,1,0,3
NWECB0457,SFO,2001,3,4,0,4,0.5,4,0,0,0,0,0
WASCB0386,IND,2001,3,4,1,5,0.0,0,0,0,0,0,0
BUFCB0318,STL,2001,3,5,0,5,0.0,0,0,0,0,0,0
DETCB0578,CLE,2001,3,6,0,6,0.0,0,0,0,0,0,0
SFOCB0550,NYG,2001,3,3,0,3,0.0,0,0,0,0,0,2
