# Receiving,Kickoff Returns,Punt Returns,Fumbles
# PID,TID,Season,Week,Rec,Tgt,Yds,Y/R,Lng,TD,KR,Yds,Avg,Long,TD,PR,Yds,Avg,Long,TD,Fum,FumL
KANWR002,DET,2005,4,0,0,0,0,0,0,2,26,13.0,15,0,3,17,5.7,14,0,0,0
STLWR004,NYG,2005,4,0,0,0,0,0,0,3,65,21.7,23,0,0,0,N/A,0,0,0,0
PITWR005,NYJ,2005,4,0,0,0,0,0,0,0,0,N/A,0,0,4,32,8.0,12,0,0,0
DENWR011,DEN,2005,5,2,N/A,23,11.5,13,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR003,STL,2005,5,5,N/A,55,11.0,19,0,0,0,N/A,0,0,1,-1,-1.0,-1,0,1,1
MIAWR016,STL,2005,5,5,N/A,63,12.6,25,1,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR016,ARI,2005,5,10,N/A,162,16.2,46,1,0,0,0,0,0,0,0,0,0,0,1,1
MINWR016,NWE,2005,5,1,N/A,55,55.0,55,1,4,86,21.5,30,0,0,0,N/A,0,0,0,0
SDGWR004,CIN,2005,5,2,N/A,30,15.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUWR016,CIN,2005,5,3,N/A,17,5.7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUWR009,TAM,2005,5,1,N/A,9,9.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR013,SDG,2005,5,1,N/A,6,6.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
MINWR007,PHI,2005,5,3,N/A,36,12.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
CINWR015,GNB,2005,5,0,N/A,0,N/A,0,0,0,0,N/A,0,0,4,22,5.5,9,0,0,0
HOUWR015,ARI,2005,5,2,N/A,9,4.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0
DENWR015,DEN,2005,5,2,N/A,11,5.5,9,0,2,56,28.0,32,0,0,0,N/A,0,0,0,0
INDWR001,CAR,2005,5,1,N/A,11,11.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR006,PIT,2005,5,3,N/A,50,16.7,21,0,0,0,N/A,0,0,1,0,0.0,0,0,0,0
WASWR005,SDG,2005,5,1,N/A,7,7.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BUFWR004,BUF,2005,5,2,N/A,13,6.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR007,NWE,2005,5,8,N/A,107,13.4,51,0,0,0,0,0,0,0,0,0,0,0,0,0
TENWR013,NWE,2005,5,2,N/A,14,7.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BALWR005,BAL,2005,5,1,N/A,21,21.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
SDGWR016,SDG,2005,5,5,N/A,72,14.4,23,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEWR015,CLE,2005,5,0,N/A,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR033,SEA,2005,5,1,N/A,11,11.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIWR019,ARI,2005,5,9,N/A,136,15.1,47,1,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR002,ATL,2005,5,0,N/A,2,N/A,2,0,0,0,0,0,0,0,0,0,0,0,0,0
STLWR007,BAL,2005,5,3,N/A,21,7.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR010,DET,2005,5,1,N/A,7,7.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR009,DET,2005,5,1,N/A,10,10.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIWR003,PHI,2005,5,1,N/A,3,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR024,CHI,2005,5,4,N/A,33,8.3,14,0,0,0,0,0,0,0,0,0,0,0,1,1
HOUWR011,HOU,2005,5,2,N/A,15,7.5,8,0,6,141,23.5,38,0,1,1,1.0,1,0,1,0
SFOWR012,TEN,2005,5,3,N/A,21,7.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
CINWR014,CIN,2005,5,3,N/A,85,28.3,47,1,0,0,0,0,0,0,0,0,0,0,0,0
DENWR013,MIA,2005,5,2,N/A,24,12.0,16,0,4,93,23.3,27,0,5,33,6.6,15,0,1,0
SDGWR007,DAL,2005,5,2,N/A,30,15.0,19,0,0,0,N/A,0,0,7,84,12.0,25,0,1,0
MINWR025,ATL,2005,5,3,N/A,55,18.3,19,0,0,0,0,0,0,0,0,0,0,0,0,0
BALWR010,BUF,2005,5,3,N/A,65,21.7,49,0,0,0,0,0,0,0,0,0,0,0,0,0
JACWR032,JAC,2005,5,2,N/A,41,20.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIWR003,DET,2005,5,2,N/A,24,12.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
PITWR005,NYJ,2005,5,2,N/A,14,7.0,7,0,0,0,N/A,0,0,4,29,7.3,9,0,2,1
CARWR012,SEA,2005,5,5,N/A,43,8.6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
BUFWR013,BUF,2005,5,0,N/A,0,N/A,0,0,1,25,25.0,25,0,2,1,0.5,1,0,1,0
TENWR012,TAM,2005,5,0,N/A,0,N/A,0,0,0,0,N/A,0,0,4,18,4.5,13,0,1,0
BALWR011,BAL,2005,5,1,N/A,23,23.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR002,HOU,2005,5,2,N/A,24,12.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMWR002,CLE,2005,5,6,N/A,83,13.8,33,2,0,0,0,0,0,0,0,0,0,0,0,0
NORWR011,WAS,2005,5,7,N/A,63,9.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR010,WAS,2005,5,1,N/A,7,7.0,7,0,2,57,28.5,31,0,1,7,7.0,7,0,0,0
HOUWR020,BAL,2005,5,6,N/A,65,10.8,21,0,0,0,0,0,0,0,0,0,0,0,1,1
TAMWR010,TAM,2005,5,5,N/A,27,5.4,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEWR022,SEA,2005,5,9,N/A,137,15.2,52,1,0,0,0,0,0,0,0,0,0,0,0,0
OAKWR010,DEN,2005,5,1,N/A,5,5.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
DETWR011,HOU,2005,5,4,N/A,35,8.8,15,1,0,0,0,0,0,0,0,0,0,0,0,0
OAKWR019,NWE,2005,5,1,N/A,1,1.0,1,0,0,0,N/A,0,0,2,5,2.5,5,0,0,0
PITWR012,PIT,2005,5,6,N/A,83,13.8,33,0,0,0,0,0,0,0,0,0,0,0,0,0
CINWR007,PHI,2005,5,5,N/A,50,10.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
DALWR006,DAL,2005,5,7,N/A,118,16.9,38,2,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR021,SFO,2005,5,1,N/A,13,13.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
NWEWR015,NWE,2005,5,1,N/A,2,2.0,2,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0
JACWR014,JAC,2005,5,3,N/A,43,14.3,19,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR012,SDG,2005,5,1,N/A,5,5.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR016,TAM,2005,5,5,N/A,87,17.4,26,0,0,0,0,0,0,0,0,0,0,0,0,0
CARWR009,DAL,2005,5,6,N/A,47,7.8,11,0,0,0,0,0,0,0,0,0,0,0,1,1
INDWR024,IND,2005,5,2,N/A,17,8.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIWR013,CHI,2005,5,6,N/A,52,8.7,22,0,0,0,0,0,0,0,0,0,0,0,0,0
TENWR008,BUF,2005,5,7,N/A,59,8.4,17,1,0,0,0,0,0,0,0,0,0,0,0,0
JACWR029,STL,2005,5,8,N/A,126,15.8,26,1,0,0,0,0,0,0,0,0,0,0,0,0
NORWR009,NOR,2005,5,5,N/A,108,21.6,42,0,0,0,N/A,0,0,4,20,5.0,9,0,0,0
DETWR016,DET,2005,5,3,N/A,25,8.3,10,0,1,14,14.0,14,0,0,0,N/A,0,0,0,0
NWEWR013,CIN,2005,5,5,N/A,52,10.4,14,1,0,0,0,0,0,0,0,0,0,0,0,0
INDWR013,IND,2005,5,6,N/A,75,12.5,21,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR024,WAS,2005,5,8,N/A,116,14.5,32,0,0,0,N/A,0,0,2,17,8.5,14,0,0,0
KANWR015,MIA,2005,5,4,N/A,60,15.0,30,0,0,0,0,0,0,0,0,0,0,0,1,0
CARWR023,CAR,2005,5,8,N/A,119,14.9,65,2,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0
WASWR019,NOR,2005,5,1,N/A,6,6.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
STLWR019,TEN,2005,5,5,N/A,99,19.8,41,1,0,0,0,0,0,0,0,0,0,0,0,0
PITWR007,PIT,2005,5,1,N/A,22,22.0,22,0,2,45,22.5,29,0,0,0,N/A,0,0,0,0
KANWR023,CAR,2005,5,3,N/A,33,11.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
MINWR011,GNB,2005,5,3,N/A,84,28.0,51,1,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR009,ATL,2005,5,5,N/A,103,20.6,53,0,0,0,0,0,0,0,0,0,0,0,0,0
GNBWR003,GNB,2005,5,5,N/A,48,9.6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
NYGWR010,IND,2005,5,6,N/A,59,9.8,18,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIWR007,ARI,2005,5,1,N/A,49,49.0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR004,SEA,2005,5,1,N/A,7,7.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR005,MIA,2005,5,3,N/A,72,24.0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR025,IND,2005,5,1,N/A,18,18.0,18,1,0,0,N/A,0,0,3,16,5.3,9,0,0,0
DETWR014,CLE,2005,5,3,N/A,23,7.7,11,0,0,0,N/A,0,0,1,15,15.0,15,0,0,0
CINWR002,NYJ,2005,5,6,N/A,89,14.8,31,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR012,ATL,2005,5,1,N/A,14,14.0,14,1,0,0,0,0,0,0,0,0,0,0,0,0
NYJWR010,CLE,2005,5,0,0,0,0,0,0,3,61,20.3,22,0,0,0,N/A,0,0,0,0
CINWR004,CIN,2005,5,0,0,0,0,0,0,3,82,27.3,39,0,0,0,N/A,0,0,0,0
NORWR006,GNB,2005,5,0,0,0,0,0,0,1,25,25.0,25,0,0,0,N/A,0,0,0,0
TENWR019,TEN,2005,5,0,0,0,0,0,0,0,0,N/A,0,0,1,-1,-1.0,-1,0,0,0
SFOWR022,SFO,2005,5,0,0,0,0,0,0,2,39,19.5,20,0,1,7,7.0,7,0,0,0
KANWR002,DET,2005,5,0,0,0,0,0,0,1,15,15.0,15,0,0,0,N/A,0,0,0,0
DENWR023,PIT,2005,5,0,0,0,0,0,0,1,37,37.0,37,0,0,0,N/A,0,0,0,0
ARIWR011,ARI,2005,5,0,0,0,0,0,0,4,109,27.3,41,0,3,33,11.0,16,0,0,0
CLEWR002,BUF,2005,5,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0
KANWR018,CHI,2005,5,0,0,0,0,0,0,0,0,N/A,0,0,1,0,0.0,0,0,0,0
SDGWR004,CIN,2005,6,2,N/A,13,6.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0
TENWR017,TEN,2005,6,1,N/A,3,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BALWR005,BAL,2005,6,1,N/A,19,19.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR001,NOR,2005,6,1,N/A,12,12.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR016,STL,2005,6,3,N/A,73,24.3,57,1,0,0,0,0,0,0,0,0,0,0,0,0
KANWR018,CHI,2005,6,1,N/A,4,4.0,4,0,0,0,N/A,0,0,3,63,21.0,49,0,0,0
HOUWR018,HOU,2005,6,1,N/A,4,4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUWR016,CIN,2005,6,4,N/A,65,16.3,21,0,0,0,0,0,0,0,0,0,0,0,0,0
STLWR004,NYG,2005,6,0,N/A,0,N/A,0,0,4,78,19.5,31,0,0,0,N/A,0,0,1,0
NWEWR016,OAK,2005,6,5,N/A,84,16.8,32,0,0,0,0,0,0,0,0,0,0,0,0,0
SDGWR016,SDG,2005,6,1,N/A,13,13.0,13,0,0,0,N/A,0,0,2,-2,-1.0,3,0,1,0
KANWR013,KAN,2005,6,2,N/A,20,10.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
STLWR021,NYG,2005,6,1,N/A,15,15.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
INDWR001,CAR,2005,6,5,N/A,50,10.0,18,1,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR002,HOU,2005,6,10,N/A,87,8.7,26,0,0,0,0,0,0,0,0,0,0,0,0,0
OAKWR010,DEN,2005,6,3,N/A,81,27.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR005,SDG,2005,6,1,N/A,32,32.0,32,0,3,99,33.0,60,0,0,0,N/A,0,0,0,0
WASWR006,PIT,2005,6,3,N/A,27,9.0,12,0,0,0,N/A,0,0,5,94,18.8,72,1,0,0
TENWR013,NWE,2005,6,7,N/A,58,8.3,16,1,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR007,NWE,2005,6,7,N/A,87,12.4,19,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMWR002,CLE,2005,6,4,N/A,34,8.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR033,SEA,2005,6,2,N/A,37,18.5,24,0,0,0,0,0,0,0,0,0,0,0,0,0
JACWR032,JAC,2005,6,3,N/A,50,16.7,41,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR002,ATL,2005,6,1,N/A,10,10.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
STLWR007,BAL,2005,6,1,N/A,9,9.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
JACWR026,JAC,2005,6,2,N/A,20,10.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR010,DET,2005,6,2,N/A,27,13.5,14,0,0,0,0,0,0,0,0,0,0,0,1,1
KANWR024,CHI,2005,6,1,N/A,15,15.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR018,TEN,2005,6,1,N/A,2,2.0,2,0,6,117,19.5,26,0,0,0,N/A,0,0,1,0
NYJWR010,CLE,2005,6,0,N/A,0,N/A,0,0,3,61,20.3,24,0,0,0,N/A,0,0,1,0
CINWR004,CIN,2005,6,0,N/A,0,N/A,0,0,3,70,23.3,29,0,0,0,N/A,0,0,0,0
SFOWR012,TEN,2005,6,5,N/A,82,16.4,25,0,0,0,N/A,0,0,2,34,17.0,27,0,0,0
CINWR014,CIN,2005,6,1,N/A,5,5.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
JACWR007,MIN,2005,6,4,N/A,35,8.8,14,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR009,DET,2005,6,1,N/A,13,13.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR017,NOR,2005,6,4,N/A,53,13.3,18,1,0,0,0,0,0,0,0,0,0,0,0,0
MINWR025,ATL,2005,6,2,N/A,24,12.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
NYGWR014,TAM,2005,6,2,N/A,27,13.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0
BALWR010,BUF,2005,6,3,N/A,22,7.3,9,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR036,CAR,2005,6,3,N/A,53,17.7,42,0,0,0,0,0,0,0,0,0,0,0,1,1
KANWR006,KAN,2005,6,2,N/A,25,12.5,16,0,0,0,0,0,0,0,0,0,0,0,0,0
DENWR013,MIA,2005,6,3,N/A,97,32.3,41,0,6,130,21.7,27,0,4,70,17.5,38,0,0,0
SDGWR007,DAL,2005,6,4,N/A,46,11.5,17,0,0,0,N/A,0,0,3,10,3.3,6,0,0,0
BUFWR013,BUF,2005,6,1,N/A,8,8.0,8,1,0,0,N/A,0,0,1,8,8.0,8,0,0,0
WASWR019,NOR,2005,6,7,N/A,83,11.9,27,1,0,0,0,0,0,0,0,0,0,0,0,0
BUFWR004,BUF,2005,6,1,N/A,17,17.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
MINWR006,MIN,2005,6,4,N/A,41,10.3,18,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR010,WAS,2005,6,2,N/A,29,14.5,19,0,5,113,22.6,27,0,0,0,N/A,0,0,0,0
HOUWR020,BAL,2005,6,8,N/A,85,10.6,23,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMWR010,TAM,2005,6,2,N/A,19,9.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR011,WAS,2005,6,2,N/A,22,11.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEWR022,SEA,2005,6,3,N/A,29,9.7,20,1,0,0,0,0,0,0,0,0,0,0,0,0
OAKWR013,OAK,2005,6,4,N/A,34,8.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR011,HOU,2005,6,4,N/A,38,9.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0
STLWR019,TEN,2005,6,7,N/A,61,8.7,14,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR009,NOR,2005,6,6,N/A,85,14.2,19,0,4,71,17.8,23,0,4,7,1.8,4,0,0,0
NYGWR008,NYG,2005,6,2,N/A,11,5.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
DALWR006,DAL,2005,6,6,N/A,64,10.7,18,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJWR025,NYJ,2005,6,1,N/A,9,9.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR016,TAM,2005,6,9,N/A,96,10.7,21,1,0,0,0,0,0,0,0,0,0,0,0,0
JACWR014,JAC,2005,6,3,N/A,32,10.7,18,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR012,SDG,2005,6,2,N/A,20,10.0,11,0,0,0,N/A,0,0,1,14,14.0,14,0,0,0
DENWR011,DEN,2005,6,6,N/A,123,20.5,72,1,0,0,0,0,0,0,0,0,0,0,0,0
CARWR009,DAL,2005,6,8,N/A,120,15.0,26,0,0,0,0,0,0,0,0,0,0,0,1,1
INDWR024,IND,2005,6,4,N/A,39,9.8,18,1,0,0,0,0,0,0,0,0,0,0,0,0
CHIWR013,CHI,2005,6,5,N/A,48,9.6,16,0,0,0,0,0,0,0,0,0,0,0,0,0
TENWR008,BUF,2005,6,7,N/A,63,9.0,15,1,0,0,0,0,0,0,0,0,0,0,0,0
JACWR029,STL,2005,6,6,N/A,70,11.7,36,0,0,0,0,0,0,0,0,0,0,0,0,0
OAKWR019,NWE,2005,6,1,N/A,49,49.0,49,0,0,0,N/A,0,0,6,38,6.3,11,0,0,0
INDWR013,IND,2005,6,7,N/A,59,8.4,15,1,0,0,0,0,0,0,0,0,0,0,0,0
DETWR016,DET,2005,6,4,N/A,23,5.8,9,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR023,CAR,2005,6,4,N/A,32,8.0,12,1,0,0,0,0,0,0,0,0,0,0,0,0
GNBWR013,MIN,2005,6,1,N/A,4,4.0,4,0,5,91,18.2,23,0,0,0,N/A,0,0,0,0
DENWR023,PIT,2005,6,2,N/A,33,16.5,26,0,1,74,74.0,74,0,0,0,N/A,0,0,0,0
NWEWR013,CIN,2005,6,8,N/A,135,16.9,35,1,0,0,0,0,0,0,0,0,0,0,0,0
PITWR007,PIT,2005,6,1,N/A,11,11.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJWR022,NYJ,2005,6,5,N/A,116,23.2,29,0,0,0,N/A,0,0,1,12,12.0,12,0,0,0
CARWR023,CAR,2005,6,6,N/A,123,20.5,80,1,0,0,N/A,0,0,4,14,3.5,8,0,0,0
KANWR015,MIA,2005,6,3,N/A,50,16.7,31,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,1,0
SFOWR005,MIA,2005,6,1,N/A,4,4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR024,WAS,2005,6,10,N/A,173,17.3,78,2,0,0,0,0,0,0,0,0,0,0,0,0
NYJWR023,NYG,2005,6,5,N/A,55,11.0,28,0,0,0,0,0,0,0,0,0,0,0,1,1
SEAWR004,SEA,2005,6,3,N/A,53,17.7,27,0,0,0,0,0,0,0,0,0,0,0,0,0
STLWR003,STL,2005,6,2,N/A,25,12.5,18,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR005,MIA,2005,6,1,N/A,12,12.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
STLWR015,MIN,2005,6,2,N/A,37,18.5,31,0,0,0,0,0,0,0,0,0,0,0,0,0
NYGWR010,IND,2005,6,4,N/A,38,9.5,16,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR014,CLE,2005,6,4,N/A,60,15.0,29,0,0,0,N/A,0,0,5,38,7.6,29,0,0,0
CINWR002,NYJ,2005,6,4,N/A,33,8.3,14,0,0,0,0,0,0,0,0,0,0,0,0,0
STLWR016,KAN,2005,6,2,N/A,15,7.5,16,0,4,72,18.0,20,0,2,2,1.0,3,0,0,0
JACWR001,OAK,2005,6,5,N/A,63,12.6,21,0,0,0,0,0,0,0,0,0,0,0,0,0
PITWR005,NYJ,2005,6,0,0,0,0,0,0,0,0,N/A,0,0,1,9,9.0,9,0,0,0
TENWR012,TAM,2005,6,0,0,0,0,0,0,0,0,N/A,0,0,3,20,6.7,9,0,0,0
CLEWR013,STL,2005,6,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0
HOUWR011,HOU,2005,6,0,0,0,0,0,0,2,45,22.5,23,0,0,0,N/A,0,0,0,0
DENWR015,DEN,2005,6,0,0,0,0,0,0,0,0,N/A,0,0,1,6,6.0,6,0,0,0
DETWR025,IND,2005,6,0,0,0,0,0,0,0,0,N/A,0,0,1,19,19.0,19,0,0,0
MINWR016,NWE,2005,6,0,0,0,0,0,0,1,20,20.0,20,0,0,0,N/A,0,0,0,0
MINWR020,MIN,2005,6,0,0,0,0,0,0,0,0,N/A,0,0,3,11,3.7,8,0,0,0
ATLWR005,MIA,2005,7,2,N/A,26,13.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
NWEWR016,OAK,2005,7,5,N/A,101,20.2,38,0,0,0,0,0,0,0,0,0,0,0,0,0
NWEWR017,SFO,2005,7,2,N/A,43,21.5,43,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR003,STL,2005,7,2,N/A,20,10.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR013,PHI,2005,7,1,N/A,36,36.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
CINWR015,GNB,2005,7,5,N/A,31,6.2,10,1,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0
KANWR008,KAN,2005,7,1,N/A,50,50.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIWR019,ARI,2005,7,4,N/A,71,17.8,34,1,0,0,0,0,0,0,0,0,0,0,0,0
KANWR033,SEA,2005,7,3,N/A,57,19.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
MINWR007,PHI,2005,7,4,N/A,30,7.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR016,STL,2005,7,3,N/A,69,23.0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR008,MIN,2005,7,3,N/A,37,12.3,16,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0
BALWR005,BAL,2005,7,2,N/A,25,12.5,13,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR013,KAN,2005,7,2,N/A,34,17.0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMWR002,CLE,2005,7,1,N/A,15,15.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
DENWR015,DEN,2005,7,0,N/A,0,N/A,0,0,1,17,17.0,17,0,1,16,16.0,16,0,1,1
WASWR012,SDG,2005,7,5,N/A,78,15.6,24,1,0,0,0,0,0,0,0,0,0,0,0,0
SDGWR004,CIN,2005,7,1,N/A,6,6.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
TENWR017,TEN,2005,7,6,N/A,51,8.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR016,ARI,2005,7,0,N/A,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALWR010,BUF,2005,7,3,N/A,19,6.3,11,1,0,0,0,0,0,0,0,0,0,0,0,0
MINWR025,ATL,2005,7,1,N/A,8,8.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR024,CHI,2005,7,4,N/A,37,9.3,14,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIWR003,PHI,2005,7,1,N/A,11,11.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR002,ATL,2005,7,2,N/A,20,10.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR010,DET,2005,7,5,N/A,95,19.0,49,0,0,0,0,0,0,0,0,0,0,0,1,1
NORWR018,TEN,2005,7,1,N/A,31,31.0,31,0,2,57,28.5,29,0,0,0,N/A,0,0,0,0
SFOWR012,TEN,2005,7,2,N/A,50,25.0,38,1,0,0,N/A,29,0,3,41,13.7,32,0,0,0
NORWR006,GNB,2005,7,0,N/A,0,N/A,0,0,3,55,18.3,24,0,0,0,N/A,0,0,1,0
SFOWR011,SFO,2005,7,1,N/A,-1,-1.0,-1,0,1,20,20.0,20,0,2,12,6.0,12,0,0,0
WASWR020,TEN,2005,7,5,N/A,43,8.6,16,0,0,0,0,0,0,0,0,0,0,0,0,0
JACWR007,MIN,2005,7,1,N/A,13,13.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR014,CLE,2005,7,3,N/A,30,10.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
MINWR021,CHI,2005,7,2,N/A,15,7.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR017,NOR,2005,7,2,N/A,21,10.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR005,SDG,2005,7,4,N/A,97,24.3,43,0,0,0,0,0,0,0,0,0,0,0,1,1
PITWR005,NYJ,2005,7,1,N/A,7,7.0,7,0,0,0,N/A,0,0,1,18,18.0,18,0,0,0
CARWR012,SEA,2005,7,4,N/A,36,9.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR009,DET,2005,7,5,N/A,34,6.8,10,0,0,0,0,0,0,0,0,0,0,0,0,0
DENWR013,MIA,2005,7,2,N/A,41,20.5,34,0,7,162,23.1,26,0,2,55,27.5,47,0,0,0
BUFWR013,BUF,2005,7,1,N/A,12,12.0,12,0,3,55,18.3,23,0,0,0,N/A,0,0,0,0
STLWR010,STL,2005,7,1,N/A,13,13.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUWR015,ARI,2005,7,2,N/A,21,10.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR011,WAS,2005,7,2,N/A,56,28.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
MINWR006,MIN,2005,7,3,N/A,60,20.0,27,1,0,0,0,0,0,0,0,0,0,0,0,0
