# Tackles,Sacks,Interceptions,Misc
# PID,TID,Season,Week,Solo,Ast,Tot,Sacks,Yds,Int,Yds,TD,FrcdFum,PassDef
TAMDE0037,TAM,2001,1,1,0,1,1.0,3,0,0,0,1,0
SFODE0178,STL,2001,1,2,0,2,1.0,6,0,0,0,0,0
INDDE0250,TAM,2001,1,3,0,3,0.0,0,0,0,0,0,0
CINDE0013,CIN,2001,1,2,0,2,0.0,0,0,0,0,0,0
WASDE0173,WAS,2001,1,5,0,5,0.0,0,0,0,0,0,0
SEADE0106,SEA,2001,2,3,0,3,0.0,0,0,0,0,0,0
TENDE0482,TEN,2001,2,4,0,4,2.0,25,0,0,0,1,0
CARDE0100,OAK,2001,2,0,2,2,0.0,0,0,0,0,0,0
MINDE0152,GNB,2001,2,1,1,2,1.0,0,0,0,0,0,0
SEADE0326,ATL,2001,2,4,1,5,1.5,4,0,0,0,1,0
CARDE0330,CAR,2001,2,2,0,2,1.0,4,0,0,0,1,0
ARIDE0095,DAL,2001,2,1,0,1,0.0,0,0,0,0,0,1
ARIDE0028,ARI,2001,2,1,0,1,0.0,0,0,0,0,0,0
NORDE0237,OAK,2001,2,3,0,3,0.0,0,0,0,0,0,0
NYJDE0190,KAN,2001,2,3,0,3,0.0,0,0,0,0,0,0
TAMDE0305,CLE,2001,2,1,1,2,1.0,6,0,0,0,0,0
ARIDE0365,GNB,2001,2,3,0,3,1.0,7,0,0,0,0,0
CARDE0023,CAR,2001,2,2,0,2,0.0,0,0,0,0,0,0
OAKDE0352,DAL,2001,2,4,1,5,0.0,0,0,0,0,0,1
MINDE0209,MIA,2001,2,1,1,2,1.0,5,0,0,0,0,0
NYGDE0159,MIA,2001,2,0,1,1,0.0,0,0,0,0,0,0
STLDE0421,STL,2001,2,1,3,4,0.0,0,0,0,0,0,0
NYGDE0161,ATL,2001,2,1,0,1,0.0,0,0,0,0,0,0
SFODE0203,PHI,2001,2,2,0,2,2.0,9,0,0,0,0,0
MINDE0133,MIN,2001,2,3,0,3,0.0,0,0,0,0,0,0
GNBDE0139,IND,2001,2,1,1,2,0.0,0,0,0,0,0,0
BUFDE0474,BUF,2001,2,2,0,2,0.0,0,0,0,0,0,0
DETDE0635,ARI,2001,2,4,0,4,0.0,0,0,0,0,0,1
BUFDE0514,JAC,2001,2,2,0,2,0.0,0,0,0,0,0,1
