# Rushing,Receiving,Fumbles
# PID,TID,Season,Week,Att,Yds,Y/A,Lng,TD,Rec,Tgt,Yds,Y/R,Lng,TD,Fum,FumL
WASRB017,WAS,2001,5,0,0,N/A,N/A,0,3,N/A,39,13.0,30,0,0,0
DETRB012,DET,2001,5,2,18,9.0,15,0,2,N/A,12,6.0,7,0,0,0
TAMRB002,OAK,2001,5,15,53,3.5,10,0,4,N/A,30,7.5,15,0,0,0
NYGRB006,GNB,2001,5,2,7,3.5,5,0,4,N/A,17,4.3,11,0,0,0
DETRB026,DET,2001,5,16,108,6.8,25,0,3,N/A,22,7.3,15,1,0,0
NORRB020,WAS,2001,5,0,0,N/A,N/A,0,3,N/A,26,8.7,15,0,0,0
DENRB015,DEN,2001,5,0,0,N/A,N/A,0,2,N/A,14,7.0,9,0,0,0
STLRB011,STL,2001,5,8,25,3.1,7,0,5,N/A,38,7.6,19,0,2,2
OAKRB013,OAK,2001,5,2,8,4.0,4,0,1,N/A,3,3.0,3,0,0,0
DENRB009,SFO,2001,5,12,78,6.5,31,0,5,N/A,35,7.0,10,0,1,1
ATLRB007,ATL,2001,5,2,16,8.0,14,0,3,N/A,15,5.0,8,1,0,0
BALRB006,BAL,2001,5,18,75,4.2,12,0,1,N/A,0,0.0,0,0,0,0
PITRB006,PIT,2001,5,19,112,5.9,30,0,1,N/A,5,5.0,5,0,0,0
SDGRB006,CHI,2001,5,1,1,1.0,1,0,0,N/A,0,N/A,N/A,0,1,1
SEARB012,SEA,2001,5,1,7,7.0,7,0,1,N/A,5,5.0,5,0,0,0
BALRB003,CIN,2001,5,0,0,N/A,N/A,0,3,N/A,13,4.3,8,0,0,0
DALRB015,NYJ,2001,5,1,5,5.0,5,0,1,N/A,10,10.0,10,0,0,0
OAKRB008,OAK,2001,5,6,24,4.0,12,1,0,N/A,0,N/A,N/A,0,0,0
SDGRB008,SDG,2001,5,1,8,8.0,8,0,2,N/A,14,7.0,9,0,0,0
CARRB008,CIN,2001,5,7,41,5.9,19,0,2,N/A,18,9.0,10,0,0,0
DETRB015,CAR,2001,5,4,2,0.5,3,0,0,N/A,0,N/A,N/A,0,0,0
STLRB010,WAS,2001,5,23,99,4.3,19,0,0,N/A,0,N/A,N/A,0,1,1
ATLRB015,TAM,2001,5,10,16,1.6,9,1,7,N/A,65,9.3,26,1,0,0
NORRB005,NWE,2001,5,15,36,2.4,9,1,2,N/A,9,4.5,6,0,0,0
