# Rushing,Receiving,Fumbles
# PID,TID,Season,Week,Att,Yds,Y/A,Lng,TD,Rec,Tgt,Yds,Y/R,Lng,TD,Fum,FumL
MIARB016,MIA,2002,2,0,0,N/A,N/A,0,1,N/A,5,5.0,5,0,0,0
NYGRB011,NYG,2002,2,19,80,4.2,15,0,6,N/A,30,5.0,7,0,0,0
NWERB001,CIN,2002,2,22,108,4.9,14,0,8,N/A,67,8.4,14,0,0,0
NORRB005,NWE,2002,2,15,66,4.4,18,0,1,N/A,3,3.0,3,0,0,0
ATLRB015,ATL,2002,2,15,34,2.3,7,0,4,N/A,30,7.5,10,1,1,1
CHIRB011,NWE,2002,2,7,21,3.0,9,0,1,N/A,9,9.0,9,0,0,0
PITRB009,PHI,2002,2,15,55,3.7,9,0,7,N/A,57,8.1,22,0,0,0
HOURB005,HOU,2002,2,13,51,3.9,17,0,1,N/A,5,5.0,5,0,0,0
TAMRB003,NYJ,2002,2,1,0,0.0,0,0,1,N/A,7,7.0,7,0,0,0
SFORB012,ARI,2002,2,0,0,N/A,N/A,0,1,N/A,9,9.0,9,0,0,0
SDGRB003,CHI,2002,2,2,2,1.0,2,0,0,N/A,0,N/A,N/A,0,0,0
NYGRB009,KAN,2002,2,1,7,7.0,7,0,0,N/A,0,N/A,N/A,0,0,0
SFORB009,PHI,2002,3,4,0,0.0,3,0,1,N/A,13,13.0,13,0,1,1
NWERB010,NWE,2002,3,1,-1,-1.0,-1,0,1,N/A,23,23.0,23,1,0,0
GNBRB008,GNB,2002,3,5,7,1.4,6,0,3,N/A,24,8.0,11,0,0,0
TENRB007,TEN,2002,3,4,9,2.3,7,0,0,N/A,0,N/A,N/A,0,0,0
CARRB012,CAR,2002,3,0,0,N/A,N/A,0,2,N/A,10,5.0,6,0,0,0
ARIRB004,DAL,2002,3,5,11,2.2,4,0,0,N/A,0,N/A,N/A,0,0,0
NYJRB001,SDG,2002,3,26,91,3.5,17,2,5,N/A,25,5.0,9,0,0,0
CHIRB010,WAS,2002,3,0,0,N/A,N/A,0,2,N/A,4,2.0,8,0,0,0
BALRB010,DEN,2002,3,7,28,4.0,7,0,2,N/A,26,13.0,22,0,0,0
BALRB017,CLE,2002,3,9,43,4.8,12,0,9,N/A,38,4.2,9,0,0,0
MINRB009,MIN,2002,3,1,2,2.0,2,0,0,N/A,0,N/A,N/A,0,0,0
ARIRB017,ARI,2002,3,0,0,N/A,N/A,0,1,N/A,2,2.0,2,0,0,0
NYGRB001,NYG,2002,3,0,0,N/A,N/A,0,1,N/A,6,6.0,6,0,0,0
DETRB002,BUF,2002,3,2,4,2.0,4,0,0,N/A,0,N/A,N/A,0,0,0
KANRB011,ARI,2002,3,17,73,4.3,27,0,1,N/A,6,6.0,6,0,1,1
HOURB023,NYG,2002,3,11,48,4.4,12,0,1,N/A,8,8.0,8,0,0,0
NORRB015,NOR,2002,3,17,45,2.6,10,0,4,N/A,42,10.5,30,0,1,1
WASRB010,STL,2002,3,6,15,2.5,8,0,1,N/A,5,5.0,5,0,0,0
WASRB016,SEA,2002,3,14,37,2.6,9,0,2,N/A,8,4.0,8,0,0,0
DALRB002,DAL,2002,3,4,20,5.0,8,0,0,N/A,0,N/A,N/A,0,0,0
BUFRB006,CHI,2002,3,27,111,4.1,24,0,4,N/A,27,6.8,9,0,0,0
HOURB012,HOU,2002,3,14,93,6.6,37,0,2,N/A,14,7.0,9,0,0,0
DETRB009,STL,2002,3,4,44,11.0,21,1,2,N/A,15,7.5,8,0,0,0
NORRB006,WAS,2002,3,1,2,2.0,2,0,2,N/A,19,9.5,14,0,0,0
INDRB022,GNB,2002,3,22,84,3.8,14,0,4,N/A,31,7.8,13,0,0,0
OAKRB010,WAS,2002,3,0,0,N/A,N/A,0,2,N/A,29,14.5,18,0,0,0
MINRB006,NYG,2002,3,0,0,N/A,N/A,0,1,N/A,11,11.0,11,0,0,0
WASRB018,TEN,2002,3,1,1,1.0,1,0,2,N/A,15,7.5,12,1,0,0
STLRB019,GNB,2002,3,3,5,1.7,3,0,1,N/A,11,11.0,11,0,0,0
WASRB006,DEN,2002,3,18,103,5.7,24,1,1,N/A,4,4.0,4,0,0,0
SEARB003,ATL,2002,3,18,67,3.7,11,0,0,N/A,0,N/A,N/A,0,0,0
NYJRB017,SFO,2002,3,15,94,6.3,15,1,0,N/A,0,N/A,N/A,0,0,0
DENRB001,BUF,2002,3,12,35,2.9,8,1,4,N/A,33,8.3,16,0,1,1
DENRB016,NYJ,2002,3,4,11,2.8,13,0,2,N/A,10,5.0,11,0,0,0
STLRB002,MIA,2002,3,4,21,5.3,9,1,0,N/A,0,N/A,N/A,0,0,0
ARIRB002,ARI,2002,3,0,0,N/A,N/A,0,1,N/A,31,31.0,31,1,0,0
CLERB001,CLE,2002,3,8,26,3.3,14,0,1,N/A,5,5.0,5,0,2,2
CARRB004,CAR,2002,3,3,10,3.3,7,0,0,N/A,0,N/A,N/A,0,0,0
OAKRB005,MIN,2002,3,9,23,2.6,9,1,3,N/A,33,11.0,24,0,1,1
MIARB014,MIA,2002,3,0,0,N/A,N/A,0,1,N/A,6,6.0,6,0,0,0
NYJRB016,NYJ,2002,3,16,43,2.7,10,0,2,N/A,20,10.0,13,0,0,0
SDGRB008,SDG,2002,3,2,4,2.0,3,0,1,N/A,4,4.0,4,0,0,0
DETRB026,DET,2002,3,14,88,6.3,16,0,2,N/A,56,28.0,52,1,0,0
ATLRB013,ATL,2002,3,2,4,2.0,2,0,0,N/A,0,N/A,N/A,0,0,0
DETRB001,DET,2002,3,5,12,2.4,6,1,2,N/A,14,7.0,9,0,1,1
DALRB006,TEN,2002,3,23,59,2.6,8,1,5,N/A,35,7.0,14,0,0,0
TAMRB010,TAM,2002,3,5,10,2.0,7,1,1,N/A,10,10.0,10,0,0,0
NYJRB008,KAN,2002,3,0,0,N/A,N/A,0,2,N/A,10,5.0,5,0,0,0
NYGRB006,PHI,2002,3,1,-1,-1.0,-1,0,1,N/A,-3,-3.0,-3,0,0,0
NORRB012,CAR,2002,3,30,154,5.1,26,2,2,N/A,12,6.0,7,0,0,0
DENRB009,SFO,2002,3,19,97,5.1,17,0,3,N/A,25,8.3,11,0,0,0
ATLRB007,ATL,2002,3,1,0,0.0,0,0,3,N/A,28,9.3,16,0,0,0
NWERB011,BUF,2002,3,0,0,N/A,N/A,0,3,N/A,11,3.7,10,0,0,0
DALRB015,NYJ,2002,3,0,0,N/A,N/A,0,4,N/A,28,7.0,8,0,0,0
BALRB003,CIN,2002,3,1,3,3.0,3,0,2,N/A,7,3.5,6,0,0,0
DETRB012,DET,2002,3,1,0,0.0,0,0,3,N/A,43,14.3,39,1,0,0
STLRB011,STL,2002,3,6,9,1.5,6,1,2,N/A,27,13.5,23,0,1,0
SEARB012,SEA,2002,3,0,0,N/A,N/A,0,2,N/A,5,2.5,3,0,0,0
MINRB012,MIN,2002,3,4,16,4.0,7,0,4,N/A,66,16.5,36,0,1,0
STLRB010,WAS,2002,3,13,59,4.5,18,0,4,N/A,26,6.5,10,0,1,1
MIARB016,MIA,2002,3,2,16,8.0,13,0,1,N/A,4,4.0,4,0,0,0
HOURB005,HOU,2002,3,11,27,2.5,8,0,3,N/A,25,8.3,11,0,0,0
SFORB012,ARI,2002,3,0,0,N/A,N/A,0,1,N/A,13,13.0,13,0,0,0
DENRB012,TAM,2002,3,11,53,4.8,14,0,6,N/A,28,4.7,10,0,0,0
DALRB001,DAL,2002,3,3,20,6.7,14,0,0,N/A,0,N/A,N/A,0,0,0
BALRB018,MIA,2002,3,24,151,6.3,53,1,2,N/A,23,11.5,13,0,1,0
SEARB004,IND,2002,3,25,88,3.5,20,0,4,N/A,29,7.3,9,0,0,0
TAMRB007,TEN,2002,3,1,0,0.0,0,0,2,N/A,13,6.5,7,0,0,0
KANRB013,KAN,2002,3,30,180,6.0,25,2,5,N/A,18,3.6,9,1,1,1
SDGRB003,CHI,2002,3,1,7,7.0,7,0,0,N/A,0,N/A,N/A,0,2,1
NORRB005,NWE,2002,3,16,92,5.8,42,1,0,N/A,0,N/A,N/A,0,0,0
ATLRB015,ATL,2002,3,8,18,2.3,7,1,1,N/A,3,3.0,3,0,0,0
ATLRB010,CHI,2002,3,0,0,N/A,N/A,0,2,N/A,16,8.0,9,0,0,0
NWERB001,CIN,2002,3,18,66,3.7,9,0,3,N/A,15,5.0,9,0,0,0
NYGRB011,NYG,2002,3,21,50,2.4,11,0,7,N/A,59,8.4,33,0,0,0
PITRB009,PHI,2002,3,11,41,3.7,8,0,3,N/A,24,8.0,9,0,1,0
CHIRB011,NWE,2002,3,2,4,2.0,3,0,4,N/A,29,7.3,13,0,0,0
ARIRB008,DAL,2002,3,11,52,4.7,19,0,2,N/A,31,15.5,17,0,0,0
NYGRB019,PHI,2002,4,0,0,N/A,N/A,0,0,N/A,0,N/A,N/A,0,1,0
OAKRB003,NWE,2002,4,1,-4,-4.0,-4,0,1,N/A,2,2.0,2,0,0,0
WASRB016,SEA,2002,4,24,139,5.8,43,4,3,N/A,92,30.7,80,1,0,0
KANRB011,ARI,2002,4,11,10,0.9,4,0,0,N/A,0,N/A,N/A,0,0,0
NYGRB016,DEN,2002,4,1,1,1.0,1,1,0,N/A,0,N/A,N/A,0,0,0
HOURB023,NYG,2002,4,3,2,0.7,3,0,0,N/A,0,N/A,N/A,0,0,0
MINRB009,MIN,2002,4,1,10,10.0,10,0,0,N/A,0,N/A,N/A,0,0,0
NYGRB005,NYJ,2002,4,1,1,1.0,1,0,0,N/A,0,N/A,N/A,0,0,0
DALRB002,DAL,2002,4,2,2,1.0,2,0,3,N/A,23,7.7,15,0,0,0
DETRB011,NOR,2002,4,0,0,N/A,N/A,0,1,N/A,0,0.0,0,0,0,0
CLERB009,BAL,2002,4,25,78,3.1,15,1,4,N/A,21,5.3,11,0,1,1
HOURB001,JAC,2002,4,15,70,4.7,22,3,1,N/A,8,8.0,8,0,0,0
DETRB002,BUF,2002,4,11,31,2.8,10,0,1,N/A,9,9.0,9,0,1,0
NYGRB009,KAN,2002,4,3,8,2.7,5,0,0,N/A,0,N/A,N/A,0,0,0
NWERB010,NWE,2002,4,1,3,3.0,3,0,2,N/A,15,7.5,13,0,1,1
NWERB012,PIT,2002,4,4,10,2.5,5,0,1,N/A,3,3.0,3,0,0,0
NYGRB001,NYG,2002,4,0,0,N/A,N/A,0,1,N/A,7,7.0,7,0,0,0
PHIRB003,PHI,2002,4,0,0,N/A,N/A,0,3,N/A,29,9.7,16,0,1,1
GNBRB003,CIN,2002,4,0,0,N/A,N/A,0,1,N/A,15,15.0,15,0,0,0
DETRB028,DEN,2002,4,5,18,3.6,5,0,2,N/A,14,7.0,8,0,0,0
BALRB010,DEN,2002,4,5,19,3.8,9,0,2,N/A,8,4.0,4,0,0,0
ATLRB003,TAM,2002,4,1,14,14.0,14,0,0,N/A,0,N/A,N/A,0,0,0
WASRB006,DEN,2002,4,8,55,6.9,24,0,3,N/A,30,10.0,17,0,0,0
CLERB001,CLE,2002,4,7,16,2.3,7,0,0,N/A,0,N/A,N/A,0,0,0
ARIRB002,ARI,2002,4,17,92,5.4,25,1,5,N/A,39,7.8,12,1,0,0
KANRB005,CAR,2002,4,9,52,5.8,21,0,0,N/A,0,N/A,N/A,0,1,1
DETRB007,SEA,2002,4,1,3,3.0,3,0,0,N/A,0,N/A,N/A,0,0,0
SFORB009,PHI,2002,4,4,7,1.8,4,0,1,N/A,3,3.0,3,0,0,0
WASRB018,TEN,2002,4,4,11,2.8,4,1,4,N/A,50,12.5,21,0,0,0
INDRB022,GNB,2002,4,3,12,4.0,7,0,1,N/A,2,2.0,2,0,0,0
HOURB012,HOU,2002,4,8,33,4.1,9,0,0,N/A,0,N/A,N/A,0,0,0
DENRB001,BUF,2002,4,12,68,5.7,16,0,3,N/A,41,13.7,26,1,1,1
DENRB016,NYJ,2002,4,12,34,2.8,11,0,3,N/A,42,14.0,27,0,2,1
BALRB017,CLE,2002,4,16,105,6.6,54,1,3,N/A,14,4.7,8,0,0,0
CARRB012,CAR,2002,4,3,22,7.3,11,0,1,N/A,31,31.0,31,0,0,0
MIARB014,MIA,2002,4,0,0,N/A,N/A,0,4,N/A,28,7.0,9,1,0,0
ARIRB004,DAL,2002,4,6,40,6.7,15,0,3,N/A,6,2.0,6,0,0,0
NYJRB001,SDG,2002,4,27,217,8.0,58,2,4,N/A,20,5.0,8,0,0,0
BUFRB006,CHI,2002,4,23,48,2.1,5,0,2,N/A,11,5.5,6,0,0,0
OAKRB005,MIN,2002,4,15,91,6.1,22,0,4,N/A,44,11.0,20,0,0,0
NORRB015,NOR,2002,4,12,61,5.1,22,1,8,N/A,67,8.4,17,0,0,0
TENRB007,TEN,2002,4,0,0,N/A,N/A,0,1,N/A,21,21.0,21,0,0,0
BALRB018,MIA,2002,4,14,66,4.7,30,1,7,N/A,60,8.6,29,0,1,1
SDGRB008,SDG,2002,4,2,12,6.0,8,0,0,N/A,0,N/A,N/A,0,0,0
OAKRB008,OAK,2002,4,4,15,3.8,5,0,0,N/A,0,N/A,N/A,0,0,0
DETRB026,DET,2002,4,18,65,3.6,37,0,3,N/A,-5,-1.7,5,0,0,0
NYGRB006,PHI,2002,4,5,20,4.0,7,0,2,N/A,15,7.5,8,0,0,0
NYJRB016,NYJ,2002,4,8,44,5.5,12,0,0,N/A,0,N/A,N/A,0,0,0
ATLRB002,SDG,2002,4,0,0,N/A,N/A,0,2,N/A,4,2.0,2,0,1,1
TAMRB010,TAM,2002,4,7,29,4.1,14,1,1,N/A,6,6.0,6,0,1,0
NYJRB008,KAN,2002,4,2,5,2.5,3,0,1,N/A,5,5.0,5,0,0,0
DETRB001,DET,2002,4,6,19,3.2,5,0,3,N/A,25,8.3,12,0,0,0
TAMRB002,OAK,2002,4,11,57,5.2,17,0,6,N/A,60,10.0,17,1,0,0
NORRB012,CAR,2002,4,22,66,3.0,18,2,1,N/A,7,7.0,7,0,0,0
OAKRB004,OAK,2002,4,2,16,8.0,9,0,2,N/A,9,4.5,5,0,1,1
PITRB006,PIT,2002,4,14,24,1.7,5,0,0,N/A,0,N/A,N/A,0,0,0
NWERB011,BUF,2002,4,0,0,N/A,N/A,0,4,N/A,39,9.8,17,0,0,0
DALRB015,NYJ,2002,4,0,0,N/A,N/A,0,2,N/A,6,3.0,3,0,0,0
BALRB003,CIN,2002,4,2,10,5.0,8,0,0,N/A,0,N/A,N/A,0,0,0
STLRB011,STL,2002,4,18,73,4.1,15,0,8,N/A,67,8.4,17,0,1,1
OAKRB013,OAK,2002,4,0,0,N/A,N/A,0,1,N/A,4,4.0,4,0,0,0
SEARB012,SEA,2002,4,1,9,9.0,9,0,0,N/A,0,N/A,N/A,0,0,0
DALRB006,TEN,2002,4,11,26,2.4,5,1,2,N/A,13,6.5,10,0,0,0
MINRB012,MIN,2002,4,6,19,3.2,9,2,7,N/A,77,11.0,20,0,0,0
NWERB005,JAC,2002,4,21,142,6.8,25,1,3,N/A,95,31.7,72,0,0,0
MIARB016,MIA,2002,4,1,5,5.0,5,0,3,N/A,15,5.0,10,0,0,0
HOURB005,HOU,2002,4,14,41,2.9,8,0,2,N/A,20,10.0,12,0,0,0
HOURB003,GNB,2002,4,17,73,4.3,15,0,1,N/A,8,8.0,8,0,0,0
DENRB012,TAM,2002,4,19,54,2.8,17,0,5,N/A,27,5.4,17,0,1,1
DALRB001,DAL,2002,4,1,3,3.0,3,0,3,N/A,21,7.0,15,0,0,0
PHIRB011,OAK,2002,4,0,0,N/A,N/A,0,1,N/A,5,5.0,5,0,0,0
JACRB016,PIT,2002,4,5,20,4.0,7,0,0,N/A,0,N/A,N/A,0,0,0
TAMRB003,NYJ,2002,4,0,0,N/A,N/A,0,1,N/A,31,31.0,31,0,0,0
KANRB013,KAN,2002,4,23,52,2.3,25,1,6,N/A,63,10.5,24,0,0,0
NORRB005,NWE,2002,4,16,78,4.9,11,0,2,N/A,12,6.0,7,0,0,0
CARRB008,CIN,2002,4,2,0,0.0,2,0,4,N/A,27,6.8,10,0,0,0
DETRB015,DET,2002,4,3,4,1.3,3,0,0,N/A,0,N/A,N/A,0,0,0
NWERB001,CIN,2002,4,21,59,2.8,9,0,0,N/A,0,N/A,N/A,0,0,0
NYGRB011,NYG,2002,4,13,55,4.2,13,1,6,N/A,48,8.0,12,0,1,1
SDGRB003,CHI,2002,4,1,5,5.0,5,0,0,N/A,0,N/A,N/A,0,0,0
PITRB009,PHI,2002,4,12,33,2.8,16,2,3,N/A,39,13.0,15,0,0,0
CHIRB011,NWE,2002,4,3,3,1.0,2,0,2,N/A,18,9.0,9,0,1,0
ARIRB008,DAL,2002,4,13,58,4.5,30,0,1,N/A,8,8.0,8,0,0,0
ATLRB003,TAM,2002,5,1,-2,-2.0,-2,0,0,N/A,0,N/A,N/A,0,0,0
DALRB002,DAL,2002,5,0,0,N/A,N/A,0,2,N/A,31,15.5,25,0,0,0
NYGRB016,DEN,2002,5,1,1,1.0,1,0,1,N/A,2,2.0,2,0,0,0
OAKRB003,NWE,2002,5,3,6,2.0,5,0,0,N/A,0,N/A,N/A,0,0,0
CARRB012,CAR,2002,5,1,1,1.0,1,0,1,N/A,8,8.0,8,0,0,0
BALRB017,CLE,2002,5,7,34,4.9,11,0,4,N/A,36,9.0,16,0,0,0
NYJRB001,SDG,2002,5,14,48,3.4,17,0,7,N/A,49,7.0,10,0,1,1
CHIRB010,WAS,2002,5,1,0,0.0,0,0,3,N/A,28,9.3,23,0,0,0
ARIRB004,DAL,2002,5,3,10,3.3,10,0,1,N/A,1,1.0,1,0,0,0
HOURB023,NYG,2002,5,5,13,2.6,6,0,0,N/A,0,N/A,N/A,0,0,0
CLERB009,BAL,2002,5,26,187,7.2,75,0,5,N/A,26,5.2,8,0,1,1
NYGRB009,KAN,2002,5,1,7,7.0,7,0,0,N/A,0,N/A,N/A,0,0,0
NWERB010,NWE,2002,5,2,17,8.5,10,0,3,N/A,27,9.0,16,0,0,0
MIARB014,MIA,2002,5,1,1,1.0,1,0,2,N/A,14,7.0,13,0,0,0
NWERB012,PIT,2002,5,5,35,7.0,15,0,3,N/A,84,28.0,54,0,0,0
NYGRB001,NYG,2002,5,0,0,N/A,N/A,0,1,N/A,5,5.0,5,0,0,0
HOURB001,JAC,2002,5,3,2,0.7,1,1,0,N/A,0,N/A,N/A,0,0,0
DETRB028,DEN,2002,5,4,8,2.0,3,0,3,N/A,31,10.3,15,0,0,0
ARIRB017,ARI,2002,5,2,10,5.0,6,0,3,N/A,16,5.3,7,0,0,0
NORRB015,NOR,2002,5,23,123,5.3,52,2,2,N/A,20,10.0,17,0,0,0
BUFRB006,CHI,2002,5,15,45,3.0,8,0,1,N/A,2,2.0,2,0,0,0
SFORB009,PHI,2002,5,1,1,1.0,1,0,2,N/A,17,8.5,11,0,0,0
DETRB009,STL,2002,5,6,15,2.5,6,0,3,N/A,51,17.0,25,1,0,0
WASRB006,DEN,2002,5,20,102,5.1,16,0,2,N/A,17,8.5,9,1,0,0
INDRB022,GNB,2002,5,1,3,3.0,3,0,0,N/A,0,N/A,N/A,0,0,0
ARIRB005,BAL,2002,5,3,7,2.3,4,0,1,N/A,5,5.0,5,0,0,0
ARIRB007,ARI,2002,5,23,61,2.7,14,0,3,N/A,36,12.0,12,0,0,0
NYGRB018,NYG,2002,5,1,1,1.0,1,0,0,N/A,0,N/A,N/A,0,1,0
WASRB018,TEN,2002,5,2,7,3.5,13,0,2,N/A,15,7.5,8,1,0,0
SEARB003,ATL,2002,5,11,52,4.7,12,0,3,N/A,34,11.3,20,0,0,0
CLERB001,CLE,2002,5,4,2,0.5,3,0,0,N/A,0,N/A,N/A,0,0,0
NYJRB017,SFO,2002,5,10,50,5.0,15,0,0,N/A,0,N/A,N/A,0,0,0
DENRB001,BUF,2002,5,15,58,3.9,29,1,7,N/A,47,6.7,16,0,0,0
DENRB016,NYJ,2002,5,1,1,1.0,1,0,0,N/A,0,N/A,N/A,0,0,0
HOURB024,TAM,2002,5,0,0,N/A,N/A,0,1,N/A,13,13.0,13,0,0,0
KANRB005,CAR,2002,5,1,0,0.0,0,0,2,N/A,6,3.0,3,0,0,0
BALRB001,BAL,2002,5,0,0,N/A,N/A,0,1,N/A,5,5.0,5,0,0,0
CINRB007,WAS,2002,5,8,62,7.8,24,0,2,N/A,12,6.0,6,0,0,0
NORRB013,NOR,2002,5,1,-4,-4.0,-4,0,0,N/A,0,N/A,N/A,0,0,0
BALRB018,MIA,2002,5,36,105,2.9,12,0,1,N/A,2,2.0,2,0,1,1
SEARB004,IND,2002,5,22,60,2.7,14,1,3,N/A,10,3.3,6,0,0,0
GNBRB001,GNB,2002,5,0,0,N/A,N/A,0,1,N/A,5,5.0,5,0,0,0
SDGRB008,SDG,2002,5,1,14,14.0,14,0,0,N/A,0,N/A,N/A,0,0,0
OAKRB008,OAK,2002,5,3,5,1.7,3,0,0,N/A,0,N/A,N/A,0,0,0
TAMRB009,OAK,2002,5,3,4,1.3,2,1,0,N/A,0,N/A,N/A,0,0,0
NYJRB016,NYJ,2002,5,21,119,5.7,35,1,4,N/A,25,6.3,13,0,0,0
TAMRB010,TAM,2002,5,4,9,2.3,7,0,1,N/A,6,6.0,6,0,0,0
NYJRB008,KAN,2002,5,1,4,4.0,4,0,2,N/A,23,11.5,15,0,0,0
ATLRB002,SDG,2002,5,1,2,2.0,2,0,2,N/A,12,6.0,9,0,0,0
NYGRB006,PHI,2002,5,3,12,4.0,5,0,0,N/A,0,N/A,N/A,0,0,0
TAMRB002,OAK,2002,5,8,94,11.8,36,1,4,N/A,83,20.8,69,1,0,0
PITRB006,PIT,2002,5,19,84,4.4,13,1,0,N/A,0,N/A,N/A,0,0,0
DENRB009,SFO,2002,5,13,116,8.9,40,1,4,N/A,17,4.3,6,0,0,0
NWERB011,BUF,2002,5,1,5,5.0,5,1,2,N/A,30,15.0,25,0,0,0
OAKRB004,OAK,2002,5,2,10,5.0,5,0,2,N/A,4,2.0,4,0,0,0
DALRB015,NYJ,2002,5,1,16,16.0,16,0,3,N/A,5,1.7,4,0,0,0
NORRB012,CAR,2002,5,18,49,2.7,9,0,5,N/A,17,3.4,11,0,2,2
STLRB011,STL,2002,5,18,73,4.1,24,0,7,N/A,37,5.3,18,0,0,0
BALRB003,CIN,2002,5,1,9,9.0,9,0,2,N/A,11,5.5,6,0,0,0
DALRB006,TEN,2002,5,10,26,2.6,6,0,3,N/A,14,4.7,6,0,0,0
STLRB010,WAS,2002,5,18,90,5.0,23,1,1,N/A,14,14.0,14,1,0,0
HOURB003,GNB,2002,5,27,107,4.0,43,0,4,N/A,21,5.3,14,0,0,0
NWERB005,JAC,2002,5,21,48,2.3,10,0,2,N/A,15,7.5,8,0,0,0
MIARB016,MIA,2002,5,4,13,3.3,9,0,1,N/A,10,10.0,10,0,0,0
DENRB012,TAM,2002,5,19,62,3.3,11,0,2,N/A,9,4.5,7,0,0,0
SFORB008,SFO,2002,5,0,0,N/A,N/A,0,1,N/A,4,4.0,4,0,0,0
NWERB003,CHI,2002,5,0,0,N/A,N/A,0,0,N/A,0,N/A,N/A,0,1,1
DALRB001,DAL,2002,5,1,4,4.0,4,0,0,N/A,0,N/A,N/A,0,0,0
PHIRB011,OAK,2002,5,0,0,N/A,N/A,0,1,N/A,7,7.0,7,0,0,0
KANRB013,KAN,2002,5,23,152,6.6,27,1,9,N/A,81,9.0,19,1,0,0
SDGRB003,CHI,2002,5,1,0,0.0,0,0,0,N/A,0,N/A,N/A,0,0,0
ATLRB015,ATL,2002,5,9,14,1.6,5,0,2,N/A,13,6.5,8,0,0,0
CARRB008,CIN,2002,5,0,0,N/A,N/A,0,3,N/A,7,2.3,4,0,1,0
INDRB020,IND,2002,5,0,0,N/A,N/A,0,1,N/A,14,14.0,14,0,0,0
NORRB005,NWE,2002,5,9,14,1.6,4,0,1,N/A,4,4.0,4,0,0,0
NWERB001,CIN,2002,5,23,164,7.1,67,2,6,N/A,21,3.5,10,0,1,0
PITRB009,PHI,2002,5,13,82,6.3,14,0,6,N/A,35,5.8,15,0,0,0
CHIRB011,NWE,2002,5,1,1,1.0,1,0,1,N/A,9,9.0,9,0,0,0
NYGRB011,NYG,2002,5,17,94,5.5,23,0,4,N/A,29,7.3,9,0,1,0
ARIRB008,DAL,2002,5,13,70,5.4,30,1,2,N/A,15,7.5,12,0,0,0
HOURB005,HOU,2002,6,8,21,2.6,8,0,1,N/A,-1,-1.0,-1,0,0,0
CARRB012,CAR,2002,6,1,7,7.0,7,0,1,N/A,25,25.0,25,1,0,0
ATLRB003,TAM,2002,6,3,11,3.7,9,0,0,N/A,0,N/A,N/A,0,0,0
TENRB007,TEN,2002,6,3,12,4.0,5,0,0,N/A,0,N/A,N/A,0,0,0
BALRB017,CLE,2002,6,9,38,4.2,15,0,10,N/A,34,3.4,13,0,0,0
ARIRB021,PIT,2002,6,0,0,N/A,N/A,0,1,N/A,4,4.0,4,1,0,0
NORRB015,NOR,2002,6,29,121,4.2,46,0,1,N/A,-2,-2.0,-2,0,1,0
NYJRB001,SDG,2002,6,20,78,3.9,11,1,9,N/A,78,8.7,22,0,0,0
ARIRB004,DAL,2002,6,3,15,5.0,12,0,0,N/A,0,N/A,N/A,0,0,0
BALRB010,DEN,2002,6,5,17,3.4,9,0,2,N/A,53,26.5,52,1,1,1
OAKRB005,MIN,2002,6,16,68,4.3,14,0,4,N/A,70,17.5,45,1,0,0
CLERB009,BAL,2002,6,21,75,3.6,17,2,7,N/A,51,7.3,11,0,0,0
NWERB012,PIT,2002,6,10,51,5.1,15,0,2,N/A,14,7.0,7,0,0,0
NWERB010,NWE,2002,6,3,20,6.7,9,0,1,N/A,9,9.0,9,0,0,0
HOURB023,NYG,2002,6,9,43,4.8,18,0,0,N/A,0,N/A,N/A,0,0,0
WASRB016,SEA,2002,6,25,96,3.8,42,1,4,N/A,25,6.3,9,0,0,0
DALRB002,DAL,2002,6,3,13,4.3,10,0,1,N/A,1,1.0,1,0,0,0
NORRB014,NOR,2002,6,1,1,1.0,1,0,0,N/A,0,N/A,N/A,0,0,0
MIARB014,MIA,2002,6,0,0,N/A,N/A,0,2,N/A,13,6.5,7,0,0,0
DENRB001,BUF,2002,6,28,159,5.7,23,2,2,N/A,11,5.5,8,0,1,1
ARIRB011,HOU,2002,6,1,0,0.0,0,0,0,N/A,0,N/A,N/A,0,0,0
HOURB012,HOU,2002,6,12,70,5.8,20,0,0,N/A,0,N/A,N/A,0,0,0
DETRB009,STL,2002,6,1,0,0.0,0,0,0,N/A,0,N/A,N/A,0,0,0
ATLRB023,PIT,2002,6,2,7,3.5,6,0,0,N/A,0,N/A,N/A,0,0,0
ARIRB005,BAL,2002,6,2,1,0.5,1,0,0,N/A,0,N/A,N/A,0,0,0
MINRB006,NYG,2002,6,0,0,N/A,N/A,0,3,N/A,16,5.3,7,0,0,0
WASRB018,TEN,2002,6,0,0,N/A,N/A,0,3,N/A,-1,-0.3,4,0,0,0
STLRB019,GNB,2002,6,3,12,4.0,7,0,0,N/A,0,N/A,N/A,0,0,0
NORRB006,WAS,2002,6,2,2,1.0,3,0,1,N/A,40,40.0,40,0,0,0
WASRB006,DEN,2002,6,18,75,4.2,15,0,6,N/A,67,11.2,21,0,1,0
DALRB019,DET,2002,6,2,2,1.0,1,0,2,N/A,34,17.0,26,0,0,0
KANRB005,CAR,2002,6,2,9,4.5,5,0,0,N/A,0,N/A,N/A,0,0,0
NYJRB017,SFO,2002,6,12,68,5.7,26,1,0,N/A,0,N/A,N/A,0,0,0
CINRB007,WAS,2002,6,0,0,N/A,N/A,0,4,N/A,74,18.5,62,1,0,0
CARRB004,CAR,2002,6,2,9,4.5,5,0,1,N/A,8,8.0,8,0,0,0
