# Tackles,Sacks,Interceptions,Misc
# PID,TID,Season,Week,Solo,Ast,Tot,Sacks,Yds,Int,Yds,TD,FrcdFum,PassDef
WASDT0283,NYG,2001,2,1,0,1,0.0,0,0,0,0,0,0
NYGDT0262,ARI,2001,2,6,3,9,0.0,0,0,0,0,0,0
SFODT0025,SFO,2001,2,1,0,1,0.0,0,0,0,0,0,0
DETDT0336,OAK,2001,2,2,2,4,0.0,0,0,0,0,0,0
HOUDT0094,JAC,2001,2,2,0,2,1.0,7,0,0,0,0,0
ARIDT0159,ARI,2001,2,2,2,4,0.0,0,0,0,0,0,0
CINDT0426,DAL,2001,2,4,0,4,0.0,0,0,0,0,1,0
CINDT0197,CIN,2001,2,0,2,2,0.5,3,0,0,0,0,0
MIADT0130,CAR,2001,2,2,0,2,0.0,0,0,0,0,0,0
JACDT0128,KAN,2001,2,4,1,5,0.0,0,0,0,0,0,0
DALDT0172,SDG,2001,2,1,0,1,0.0,0,0,0,0,0,0
INDDT0195,IND,2001,2,3,1,4,2.0,10,0,0,0,0,0
SEALB0177,ARI,2001,2,1,0,1,0.0,0,0,0,0,0,0
NYGDT0476,DET,2001,2,8,2,10,0.0,0,0,0,0,0,0
NYJDT0388,CAR,2001,2,3,0,3,0.0,0,0,0,0,0,0
MINDT0036,MIN,2001,2,1,0,1,0.0,0,0,0,0,0,0
DALDT0082,DAL,2001,2,2,0,2,0.0,0,0,0,0,0,0
TAMDT0150,MIA,2001,2,0,1,1,0.0,0,0,0,0,0,0
NWEDT0002,NWE,2001,2,0,1,1,0.0,0,0,0,0,0,0
HOUDT0251,STL,2001,2,1,1,2,0.0,0,0,0,0,0,0
STLLB0208,CIN,2001,2,1,1,2,0.0,0,0,0,0,0,0
SEADT0193,SEA,2001,2,1,0,1,0.0,0,0,0,0,1,0
CHIDT0090,MIA,2001,2,0,2,2,0.0,0,0,0,0,0,0
NORDT0293,STL,2001,2,1,0,1,0.0,0,0,0,0,0,0
BUFDT0034,BUF,2001,2,2,0,2,1.0,3,0,0,0,0,0
JACDT0293,JAC,2001,2,1,0,1,0.0,0,0,0,0,0,0
