STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,K_0_19_Att,K_0_19_made,K_20_29_Att,K_20_29_made,K_30_39_Att, K_30_39_made,K_40_49_Att,K_40_49_made, K_50_Att, K_50_made,K_FGM,K_FGA,K_FG_Pct,K_Lng,K_XPM,K_XPA,K_XP_Pct,K_Pts
INDKK003,BAL,2004,2,0,0,1,1,2,2,0,0,0,0,3,3,100.0,35,3,3,100.0,12
NYGKK004,NYG,2004,2,0,0,1,1,1,1,0,1,0,1,2,4,50.0,38,2,2,100.0,8
TENKK001,TEN,2004,2,0,0,0,0,1,1,0,0,0,0,1,1,100.0,39,2,2,100.0,5
NYGKK002,NOR,2004,2,0,0,0,0,3,3,0,0,0,0,3,3,100.0,37,3,3,100.0,12
CHIKK003,NYJ,2004,2,0,0,2,2,0,0,0,0,0,0,2,2,100.0,28,4,4,100.0,10
ATLKK001,SFO,2004,2,0,0,0,0,2,2,0,0,0,0,2,2,100.0,33,3,3,100.0,9
WASKK005,WAS,2004,2,0,0,0,0,0,0,0,1,0,0,0,1,0.0,N/A,2,2,100.0,2
SFOKK003,CLE,2004,2,0,0,2,2,0,0,2,2,0,0,4,4,100.0,49,0,0,N/A,12
MINKK002,GNB,2004,2,0,0,1,1,0,0,0,1,0,0,1,2,50.0,25,1,1,100.0,4
CHIKK001,MIA,2004,2,0,0,0,0,0,0,2,2,0,0,2,2,100.0,47,1,1,100.0,7
STLKK001,STL,2004,2,0,0,0,0,0,0,1,1,0,0,1,1,100.0,46,2,2,100.0,5
INDKK002,NWE,2004,2,0,0,3,3,0,0,0,0,0,0,3,3,100.0,29,2,2,100.0,11
ATLKK004,MIN,2004,2,1,1,0,0,1,1,1,2,0,0,3,4,75.0,42,1,1,100.0,10
MINKK001,CHI,2004,3,0,0,1,1,2,3,0,0,0,0,3,4,75.0,34,1,1,100.0,10
ARIKK001,ATL,2004,3,0,0,2,2,0,0,0,0,0,0,2,2,100.0,25,0,0,N/A,6
HOUKK002,ARI,2004,3,0,0,0,0,1,1,0,0,0,0,1,1,100.0,30,0,0,N/A,3
OAKKK001,OAK,2004,3,0,0,1,1,1,1,1,2,0,0,3,4,75.0,40,3,3,100.0,12
NORKK003,TAM,2004,3,0,0,0,0,2,2,0,1,0,0,2,3,66.7,36,0,0,N/A,6
SDGKK001,HOU,2004,3,0,0,1,1,0,0,2,2,0,0,3,3,100.0,49,1,1,100.0,10
NORKK004,CIN,2004,3,0,0,2,2,0,0,1,1,0,0,3,3,100.0,47,0,0,N/A,9
WASKK004,DAL,2004,3,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,3,3,100.0,3
JACKK001,JAC,2004,3,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1,1,100.0,1
NYGKK001,KAN,2004,3,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,3,3,100.0,3
MIAKK001,SDG,2004,3,0,0,1,1,0,0,0,0,1,1,2,2,100.0,51,1,1,100.0,7
BALKK003,MIN,2004,3,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
SFOKK001,PIT,2004,3,0,0,0,0,0,0,1,3,1,1,2,4,50.0,51,1,1,100.0,7
NYGKK003,SEA,2004,3,0,0,1,1,1,1,0,0,0,0,2,2,100.0,35,4,4,100.0,10
DETKK001,PHI,2004,3,0,0,1,1,1,1,1,1,0,0,3,3,100.0,47,3,3,100.0,12
DALKK003,IND,2004,3,0,0,0,0,0,0,1,1,0,0,1,1,100.0,45,6,6,100.0,9
