# Punting
# PID,TID,Season,Week,Punt,Yds,Avg,Long,In20,FC,TB,Blk
NYGPP0143,SEA,2002,13,5,205,41.0,52,1,2,0,0
NWEPP0144,JAC,2002,14,7,326,46.6,56,4,1,0,0
HOUPP0193,OAK,2002,14,5,189,37.8,54,1,0,1,0
HOUPP0080,HOU,2002,14,10,421,42.1,62,1,2,1,0
WASPP0156,IND,2002,14,2,96,48.0,54,0,0,1,0
CLEPP0101,ARI,2002,14,8,356,44.5,49,2,3,0,0
WASPP0147,GNB,2002,14,3,104,34.7,37,1,3,0,0
DENPP0059,DEN,2002,14,1,44,44.0,44,0,1,0,0
BUFPP0208,BUF,2002,14,3,130,43.3,57,1,1,1,0
DALPP0032,DAL,2002,14,6,241,40.2,47,1,2,0,0
SFOPP0048,SFO,2002,14,6,198,33.0,43,2,3,0,1
NYGPP0031,NYG,2002,14,7,232,33.1,42,2,1,0,0
WASPP0032,WAS,2002,14,3,114,38.0,41,2,2,0,0
CARPP0176,PHI,2002,14,6,211,35.2,43,2,4,0,0
ARIPP0207,BAL,2002,14,2,100,50.0,50,0,0,0,2
CLEPP0080,MIN,2002,14,4,133,33.3,46,1,1,0,0
NYJPP0063,NOR,2002,14,5,176,35.2,45,3,3,0,0
PITPP0093,CLE,2002,14,5,199,39.8,52,1,1,1,0
DETPP0036,DET,2002,14,7,283,40.4,49,1,0,2,0
JACPP0048,MIA,2002,14,5,212,42.4,54,1,0,0,0
ATLPP0064,ATL,2002,14,7,300,42.9,51,2,3,1,0
WASPP0064,TAM,2002,14,5,206,41.2,47,2,1,1,0
NYJPP0048,KAN,2002,14,4,141,35.3,47,0,0,0,0
TENPP0129,TEN,2002,14,2,99,49.5,50,0,0,1,0
DENPP0142,STL,2002,14,5,182,36.4,49,2,1,0,0
CLEPP0175,CHI,2002,14,7,304,43.4,54,2,1,0,0
NWEPP0094,NWE,2002,14,4,145,36.3,53,1,0,0,0
TENPP0098,PIT,2002,14,6,207,34.5,39,1,2,0,0
HOUPP0160,NYJ,2002,14,3,103,34.3,39,0,0,0,0
DENPP0109,CAR,2002,14,3,120,40.0,50,2,1,1,0
MINPP0076,SDG,2002,14,4,167,41.8,53,1,2,0,0
NYGPP0143,SEA,2002,14,4,145,36.3,42,1,0,0,0
NWEPP0144,JAC,2002,15,5,210,42.0,53,0,0,0,0
HOUPP0193,OAK,2002,15,5,243,48.6,61,3,0,1,0
DENPP0059,DEN,2002,15,3,124,41.3,59,0,0,0,0
HOUPP0080,HOU,2002,15,6,247,41.2,50,4,3,0,0
WASPP0156,IND,2002,15,6,196,32.7,41,3,3,0,0
CLEPP0101,ARI,2002,15,7,327,46.7,53,1,1,2,0
WASPP0147,GNB,2002,15,3,104,34.7,39,0,1,1,0
DETPP0191,CIN,2002,15,2,82,41.0,42,0,0,0,0
BUFPP0208,BUF,2002,15,8,293,36.6,58,1,2,0,0
DALPP0032,DAL,2002,15,9,340,37.8,50,1,3,1,0
SFOPP0048,SFO,2002,15,4,166,41.5,60,1,0,0,0
NYGPP0031,NYG,2002,15,6,197,32.8,49,3,2,0,0
WASPP0032,WAS,2002,15,7,345,49.3,74,1,0,2,0
CARPP0176,PHI,2002,15,7,234,33.4,44,0,1,1,0
ARIPP0207,BAL,2002,15,4,170,42.5,51,1,0,0,0
CLEPP0080,MIN,2002,15,5,196,39.2,47,1,1,0,0
NYJPP0063,NOR,2002,15,3,139,46.3,59,1,1,0,0
PITPP0093,CLE,2002,15,8,342,42.8,47,3,0,0,0
DETPP0036,DET,2002,15,4,187,46.8,54,2,1,0,0
JACPP0048,MIA,2002,15,3,124,41.3,44,0,0,0,0
ATLPP0064,ATL,2002,15,5,235,47.0,56,0,0,0,0
WASPP0064,TAM,2002,15,5,229,45.8,57,3,0,0,0
NYJPP0048,KAN,2002,15,5,214,42.8,49,1,0,0,0
TENPP0129,TEN,2002,15,4,169,42.3,47,2,2,1,0
DENPP0142,STL,2002,15,5,198,39.6,58,3,0,1,0
CLEPP0175,CHI,2002,15,3,133,44.3,51,2,0,0,0
NWEPP0094,NWE,2002,15,6,245,40.8,46,0,1,2,0
TENPP0098,PIT,2002,15,6,212,35.3,53,3,1,0,0
HOUPP0160,NYJ,2002,15,3,128,42.7,47,1,0,1,0
DENPP0109,CAR,2002,15,6,259,43.2,48,1,0,0,0
MINPP0076,SDG,2002,15,8,329,41.1,53,0,1,2,0
NYGPP0143,SEA,2002,15,2,80,40.0,43,1,0,0,0
HOUPP0080,HOU,2002,16,6,281,46.8,53,1,0,1,0
NWEPP0144,JAC,2002,16,7,290,41.4,51,1,0,0,0
HOUPP0193,OAK,2002,16,6,244,40.7,51,1,0,3,0
WASPP0156,IND,2002,16,5,201,40.2,57,3,2,1,1
WASPP0147,GNB,2002,16,7,283,40.4,44,3,1,0,0
CLEPP0080,MIN,2002,16,1,45,45.0,45,1,0,0,0
CLEPP0101,ARI,2002,16,4,178,44.5,55,1,0,0,0
DENPP0059,DEN,2002,16,5,174,34.8,45,2,4,0,0
DETPP0191,CIN,2002,16,6,220,36.7,45,0,1,0,0
DALPP0032,DAL,2002,16,8,333,41.6,50,1,3,0,0
SFOPP0048,SFO,2002,16,2,87,43.5,48,0,0,0,0
NYGPP0031,NYG,2002,16,3,116,38.7,49,1,3,0,0
WASPP0032,WAS,2002,16,6,180,30.0,51,1,0,0,1
BUFPP0208,BUF,2002,16,6,283,47.2,84,3,0,0,0
ARIPP0207,BAL,2002,16,5,188,37.6,52,3,0,1,0
NYJPP0063,NOR,2002,16,6,234,39.0,50,2,0,0,0
NWEPP0094,NWE,2002,16,7,306,43.7,50,1,0,2,0
JACPP0048,MIA,2002,16,2,86,43.0,44,0,0,0,0
PITPP0093,CLE,2002,16,5,207,41.4,51,2,0,0,0
ATLPP0064,ATL,2002,16,2,77,38.5,39,0,1,0,0
NYJPP0048,KAN,2002,16,7,251,35.9,49,1,4,0,0
WASPP0064,TAM,2002,16,7,288,41.1,63,1,0,0,0
PHIPP0032,PHI,2002,16,6,199,33.2,53,2,2,1,0
SEAPP0080,PIT,2002,16,5,225,45.0,55,1,1,1,0
DETPP0036,DET,2002,16,5,195,39.0,45,4,3,0,0
HOUPP0160,NYJ,2002,16,6,221,36.8,48,1,0,0,0
CLEPP0175,CHI,2002,16,10,445,44.5,66,3,1,0,0
MINPP0076,SDG,2002,16,6,280,46.7,60,3,2,0,0
DENPP0109,CAR,2002,16,11,443,40.3,58,6,1,2,0
TENPP0129,TEN,2002,16,6,238,39.7,56,2,2,1,0
DENPP0142,STL,2002,16,2,65,32.5,35,1,0,0,0
NYGPP0143,SEA,2002,16,2,69,34.5,35,0,1,0,0
HOUPP0080,HOU,2002,17,5,233,46.6,51,2,2,1,1
NWEPP0144,JAC,2002,17,3,122,40.7,48,1,0,0,0
HOUPP0193,OAK,2002,17,2,76,38.0,49,1,1,0,0
WASPP0156,IND,2002,17,3,108,36.0,40,2,1,0,0
WASPP0147,GNB,2002,17,6,253,42.2,45,1,2,0,0
CLEPP0080,MIN,2002,17,2,72,36.0,43,1,1,0,0
CLEPP0101,ARI,2002,17,6,247,41.2,52,4,1,0,0
DENPP0059,DEN,2002,17,1,48,48.0,48,1,0,0,0
DETPP0191,CIN,2002,17,4,122,30.5,34,1,0,0,0
DALPP0032,DAL,2002,17,8,350,43.8,60,2,1,0,0
SFOPP0048,SFO,2002,17,5,157,31.4,38,1,1,0,0
NYGPP0031,NYG,2002,17,4,139,34.8,54,2,0,1,0
WASPP0032,WAS,2002,17,4,132,33.0,48,1,0,0,0
BUFPP0208,BUF,2002,17,2,77,38.5,44,1,1,0,0
ARIPP0207,BAL,2002,17,2,64,32.0,36,1,0,0,0
NYJPP0063,NOR,2002,17,7,305,43.6,57,2,1,1,0
NWEPP0094,NWE,2002,17,6,222,37.0,53,2,1,0,0
JACPP0048,MIA,2002,17,8,279,34.9,48,1,0,1,0
PITPP0093,CLE,2002,17,3,113,37.7,49,2,0,0,0
ATLPP0064,ATL,2002,17,4,159,39.8,44,0,1,0,0
NYJPP0048,KAN,2002,17,4,123,30.8,37,0,0,1,0
WASPP0064,TAM,2002,17,6,248,41.3,61,2,1,1,0
PHIPP0032,PHI,2002,17,8,324,40.5,51,2,0,1,0
SEAPP0080,PIT,2002,17,2,91,45.5,50,0,0,0,0
DETPP0036,DET,2002,17,2,81,40.5,49,2,1,0,0
HOUPP0160,NYJ,2002,17,4,154,38.5,42,0,0,0,0
CLEPP0175,CHI,2002,17,6,286,47.7,75,2,0,1,0
MINPP0076,SDG,2002,17,6,206,34.3,48,4,4,0,0
DENPP0109,CAR,2002,17,8,351,43.9,64,1,0,0,0
TENPP0129,TEN,2002,17,7,289,41.3,55,4,1,0,0
DENPP0142,STL,2002,17,6,290,48.3,64,0,1,0,0
NYGPP0143,SEA,2002,17,4,154,38.5,51,0,1,1,0
HOUPP0080,HOU,2003,1,5,214,42.8,49,1,2,0,0
NWEPP0144,JAC,2003,1,7,327,46.7,58,0,1,0,1
HOUPP0193,OAK,2003,1,7,353,50.4,65,2,1,0,0
WASPP0156,IND,2003,1,3,119,39.7,50,1,1,0,0
WASPP0147,GNB,2003,1,2,79,39.5,40,0,0,0,0
