STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,K_0_19_Att,K_0_19_made,K_20_29_Att,K_20_29_made,K_30_39_Att, K_30_39_made,K_40_49_Att,K_40_49_made, K_50_Att, K_50_made,K_FGM,K_FGA,K_Pct,K_Lng,K_XPM,K_XPA,K_Pct,K_Pts
TENKK0016,TEN,2004,2,0,0,0,0,1,1,0,0,0,0,1,1,100,39,2,2,100,5
NORKK0106,NOR,2004,2,0,0,0,0,3,3,0,0,0,0,3,3,100,37,3,3,100,12
CHIKK0019,NYJ,2004,2,0,0,2,2,0,0,0,0,0,0,2,2,100,28,4,4,100,10
ATLKK0032,SFO,2004,2,0,0,0,0,2,2,0,0,0,0,2,2,100,33,3,3,100,9
WASKK0036,WAS,2004,2,0,0,0,0,0,0,0,1,0,0,0,1,0,N/A,2,2,100,2
SFOKK0159,CLE,2004,2,0,0,2,2,0,0,2,2,0,0,4,4,100,49,0,0,N/A,12
MINKK0143,GNB,2004,2,0,0,1,1,0,0,0,1,0,0,1,2,50,25,1,1,100,4
CHIKK0144,MIA,2004,2,0,0,0,0,0,0,2,2,0,0,2,2,100,47,1,1,100,7
STLKK0064,STL,2004,2,0,0,0,0,0,0,1,1,0,0,1,1,100,46,2,2,100,5
INDKK0180,NWE,2004,2,0,0,3,3,0,0,0,0,0,0,3,3,100,29,2,2,100,11
ATLKK0062,MIN,2004,2,1,1,0,0,1,1,1,2,0,0,3,4,75,42,1,1,100,10
MINKK0047,CHI,2004,3,0,0,1,1,2,3,0,0,0,0,3,4,75,34,1,1,100,10
ARIKK0164,ATL,2004,3,0,0,2,2,0,0,0,0,0,0,2,2,100,25,0,0,N/A,6
HOUKK0128,ARI,2004,3,0,0,0,0,1,1,0,0,0,0,1,1,100,30,0,0,N/A,3
OAKKK0160,OAK,2004,3,0,0,1,1,1,1,1,2,0,0,3,4,75,40,3,3,100,12
NORKK0074,TAM,2004,3,0,0,0,0,2,2,0,1,0,0,2,3,66.7,36,0,0,N/A,6
SDGKK0106,HOU,2004,3,0,0,1,1,0,0,2,2,0,0,3,3,100,49,1,1,100,10
NORKK0165,CIN,2004,3,0,0,2,2,0,0,1,1,0,0,3,3,100,47,0,0,N/A,9
CLEKK0160,DAL,2004,3,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,3,3,100,3
JACKK0160,JAC,2004,3,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1,1,100,1
NYGKK0145,KAN,2004,3,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,3,3,100,3
MIAKK0143,SDG,2004,3,0,0,1,1,0,0,0,0,1,1,2,2,100,51,1,1,100,7
BALKK0049,MIN,2004,3,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
