STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,Rec,rec_Tgt,rec_Yds,rec_YPR,rec_Lng,rec_TD,KR,KR_Yds,KR_Avg,KR_Long,KR_TD,PR,PR_Yds,PR_Avg,PR_Long,PR_TD,Fum,FumLOST
DALWR0119,CIN,2001,1,5,N/A,104,20.8,34,0,0,0,0,0,0,0,0,0,0,0,0,0
CARDE0648,NWE,2001,1,1,N/A,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR0060,NWE,2001,1,4,N/A,25,6.3,16,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMWR0188,GNB,2001,1,4,N/A,104,26,35,1,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR0290,DET,2001,1,5,N/A,111,22.2,42,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR0042,NOR,2001,1,3,N/A,89,29.7,46,1,0,0,0,0,0,0,0,0,0,0,0,0
DETWR0097,DET,2001,1,3,N/A,22,7.3,13,0,5,127,25.4,33,0,2,43,21.5,30,0,0,0
BALCB0771,JAC,2001,1,8,N/A,126,15.8,34,2,0,0,0,0,0,0,0,0,0,0,0,0
INDWR0340,STL,2001,1,1,N/A,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR0049,ATL,2001,1,4,N/A,66,16.5,27,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMWR0226,OAK,2001,1,8,N/A,133,16.6,33,1,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR0209,OAK,2001,1,8,N/A,87,10.9,23,0,0,0,0,0,0,0,0,0,0,0,0,0
PITWR0132,ATL,2001,1,3,N/A,26,8.7,12,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR0010,DET,2001,1,2,N/A,41,20.5,23,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR0375,JAC,2001,1,1,N/A,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR0163,ATL,2001,1,1,N/A,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR0132,MIN,2001,1,1,N/A,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0
DENWR0169,DEN,2001,1,6,N/A,94,15.7,28,1,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR0504,STL,2001,1,4,N/A,89,22.3,27,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR0109,NOR,2001,1,2,N/A,12,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR0182,MIA,2001,1,2,N/A,25,12.5,14,0,0,0,0,0,0,0,0,0,0,0,0,0
NYGWR0442,NYG,2001,1,5,N/A,78,15.6,43,2,0,0,0,0,0,0,0,0,0,0,0,0
INDWR0453,IND,2001,1,4,N/A,35,8.8,15,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR0460,SEA,2001,1,2,N/A,18,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0
JACWR0210,BAL,2001,1,1,N/A,6,6,6,0,3,70,23.3,24,0,2,32,16,31,0,1,1
CINWR0642,SFO,2001,1,7,N/A,93,13.3,40,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUWR0588,TEN,2001,1,2,N/A,62,31,33,1,2,41,20.5,24,0,4,26,6.5,8,0,0,0
PITWR0005,PIT,2001,1,1,N/A,8,8,8,0,2,36,18,20,0,0,0,N/A,N/A,0,0,0
ARIWR0233,TAM,2001,1,1,N/A,9,9,9,0,1,13,13,13,0,2,0,0,1,0,0,0
MIAWR0178,MIA,2001,1,4,N/A,74,18.5,31,1,0,0,0,0,0,0,0,0,0,0,0,0
CARWR0473,CAR,2001,1,4,N/A,69,17.3,43,1,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0
KANWR0384,DEN,2001,1,1,N/A,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0
OAKWR0038,OAK,2001,1,1,N/A,8,8,8,0,4,130,32.5,40,0,1,8,8,8,0,0,0
WASWR0534,DAL,2001,1,6,N/A,18,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
NWEWR0154,SFO,2001,1,5,N/A,93,18.6,47,1,0,0,0,0,0,0,0,0,0,0,0,0
TENWR0410,BUF,2001,1,1,N/A,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0
TENWR0016,TEN,2001,1,3,N/A,47,15.7,22,0,0,0,0,0,0,0,0,0,0,0,0,0
CINWR0113,WAS,2001,1,4,N/A,28,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJWR0239,NYJ,2001,1,1,N/A,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
GNBWR0185,GNB,2001,1,2,N/A,12,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CARWR0307,TAM,2001,1,7,N/A,71,10.1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
DENWR0341,DEN,2001,1,9,N/A,115,12.8,26,1,0,0,0,0,0,0,0,0,0,0,0,0
NWEWR0229,DEN,2001,1,0,0,0,0,0,0,1,29,29,29,0,0,0,N/A,N/A,0,0,0
CLEWR0258,CLE,2001,1,0,0,0,0,0,0,1,21,21,21,0,0,0,N/A,N/A,0,0,0
ARIWR0308,DAL,2001,1,0,0,0,0,0,0,3,131,43.7,77,0,0,0,N/A,N/A,0,0,0
CHIWR0078,SFO,2001,1,0,0,0,0,0,0,2,45,22.5,24,0,0,0,N/A,N/A,0,0,0
HOUWR0061,BUF,2001,1,0,0,0,0,0,0,0,0,N/A,N/A,0,1,34,34,34,0,0,0
MINWR0070,MIN,2001,1,0,0,0,0,0,0,5,93,18.6,21,0,5,37,7.4,16,0,0,0
