STATS,,,,,,,,,,,,,,,,
PID,TID,Season,Week,Rec,REC_Tgt,REC_Yds,REC_YPR,REC_Lng,REC_TD,RUN_Att,RUN_Yds,RUN_YPA,RUN_Lng,RUN_TD,Fum,FumLost
WASTE0146,ATL,2001,2,4,N/A,86,21.5,46,0,0,0,N/A,N/A,0,0,0
MINTE0027,MIN,2001,2,1,N/A,3,3,3,1,0,0,N/A,N/A,0,0,0
DALTE0044,CIN,2001,2,1,N/A,8,8,8,0,0,0,N/A,N/A,0,0,0
STLTE0092,STL,2001,2,1,N/A,1,1,1,1,0,0,N/A,N/A,0,0,0
TENTE0085,TEN,2001,2,3,N/A,19,6.3,11,0,0,0,N/A,N/A,0,0,0
NORTE0116,STL,2001,2,1,N/A,31,31,31,0,0,0,N/A,N/A,0,0,0
WASTE0020,CIN,2001,2,2,N/A,20,10,17,0,0,0,N/A,N/A,0,0,0
CARTE0130,CAR,2001,2,1,N/A,5,5,5,0,0,0,N/A,N/A,0,0,0
PHITE0119,PHI,2001,2,3,N/A,13,4.3,6,0,0,0,N/A,N/A,0,0,0
CARTE0005,CAR,2001,2,1,N/A,9,9,9,0,0,0,N/A,N/A,0,0,0
JACTE0008,JAC,2001,2,2,N/A,58,29,40,0,0,0,N/A,N/A,0,1,1
ATLTE0305,KAN,2001,2,5,N/A,43,8.6,16,0,0,0,N/A,N/A,0,0,0
TAMTE0070,CLE,2001,2,2,N/A,37,18.5,19,0,0,0,N/A,N/A,0,0,0
PITTE0054,BUF,2001,2,5,N/A,36,7.2,11,0,0,0,N/A,N/A,0,0,0
ARITE0069,SDG,2001,2,5,N/A,51,10.2,12,1,0,0,N/A,N/A,0,0,0
DENTE0059,BAL,2001,2,8,N/A,84,10.5,27,0,0,0,N/A,N/A,0,0,0
MINTE0282,MIN,2001,3,8,N/A,51,6.4,12,0,1,1,1,1,0,0,0
GNBTE0005,GNB,2001,3,1,N/A,3,3,3,0,0,0,N/A,N/A,0,0,0
CHITE0210,DEN,2001,3,5,N/A,67,13.4,23,0,0,0,N/A,N/A,0,1,1
ATLTE0235,ATL,2001,3,3,N/A,28,9.3,14,0,0,0,N/A,N/A,0,0,0
