9691,Cameron Wake,DE,MIA
7187,DeMarcus Ware,DE,DEN
24798,J.J. Watt,DE,HOU
24817,Muhammad Wilkerson,DE,NYJ
26846,Nick Williams,DE,PIT
25915,Billy Winn,DE,CLE
24098,Al Woods,DE,TEN
24217,Doug Worthington,DE,WAS
26892,John Youboty,DE,DEN
25427,Dan Bailey,K,DAL
26615,Brandon Bogotay,K,CLE
6558,Josh Brown,K,NYG
25871,Randy Bullock,K,HOU
8447,Mason Crosby,K,GNB
4269,Phil Dawson,K,SFO
5447,Jay Feely,K,ARI
25648,Kai Forbath,K,WAS
7867,Stephen Gostkowski,K,NWE
5854,Shayne Graham,K,NOR
24907,Alex Henery,K,PHI
26531,Danny Hrapmann,K,ARI
27120,Brandon McManus,K,NYG
7505,Nick Novak,K,SDG
25961,John Potter,K,DET
25503,Jake Rogers,K,WAS
27164,Quinn Sharp,K,CIN
9520,Ryan Succop,K,KAN
26264,Giorgio Tavecchio,K,DET
3727,Adam Vinatieri,K,IND
25997,Carson Wiggs,K,IND
9219,Connor Barth,K,TAM
27297,Maikon Bonani,K,TEN
6243,Matt Bryant,K,ATL
9032,Dan Carpenter,K,BUF
6154,Billy Cundiff,K,CLE
26384,Derek Dimke,K,NOR
8432,Nick Folk,K,NYJ
9526,Graham Gano,K,CAR
7520,Robbie Gould,K,CHI
9066,Steven Hauschka,K,SEA
26800,Dustin Hopkins,K,BUF
5046,Sebastian Janikowski,K,OAK
27506,Patrick Murray,K,TAM
7223,Mike Nugent,K,CIN
8565,Matt Prater,K,DEN
6896,Josh Scobee,K,JAC
26789,Caleb Sturgis,K,MIA
7527,Shaun Suisham,K,PIT
26534,Justin Tucker,K,BAL
25885,Blair Walsh,K,MIN
25881,Greg Zuerlein,K,STL
7389,Derek Anderson,QB,CAR
25483,McLeod Bethel-Thompson,QB,SFO
23976,Sam Bradford,QB,STL
27170,Tyler Bray,QB,KAN
7201,Jason Campbell,QB,CIN
7798,Kellen Clemens,QB,SDG
7760,Jay Cutler,QB,CHI
9678,Chase Daniel,QB,KAN
26346,Austin Davis,QB,STL
25323,Pat Devlin,QB,MIA
26857,Zac Dysert,QB,DEN
7426,Ryan Fitzpatrick,QB,hou
25798,Nick Foles,QB,PHI
26696,Mike Glennon,QB,TAM
26949,Ryan Griffin,QB,NOR
